timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
1.54898E+12,0,23,5.05E-06,44,63,42,797321,359174,48243,65458,94850,85100,17389,16090,math
1.54898E+12,0,51,1.12E-05,44,63,42,797321,359174,48243,65458,94850,85100,17389,16090,math
1.54898E+12,0,117,2.57E-05,44,63,42,797321,359174,48243,65458,94850,85100,17389,16090,math
1.54898E+12,0,247,5.43E-05,44,63,42,797321,359174,48243,65458,94850,85100,17389,16090,math
1.54898E+12,0,-110,-2.42E-05,37,50,42,2188487,353574,35280,74844,16769231,29730,10015,5628,math
1.54898E+12,0,-125,-2.75E-05,37,50,42,2188487,353574,35280,74844,16769231,29730,10015,5628,math
1.54898E+12,0,-264,-5.80E-05,37,50,42,2188487,353574,35280,74844,16769231,29730,10015,5628,math
1.54898E+12,0,51,1.12E-05,37,50,42,2188487,353574,35280,74844,16769231,29730,10015,5628,math
1.54898E+12,0,93,2.04E-05,37,50,42,2188487,353574,35280,74844,16769231,29730,10015,5628,math
1.54898E+12,0,-294,-6.46E-05,37,50,42,2188487,353574,35280,74844,16769231,29730,10015,5628,math
1.54898E+12,0,34,7.47E-06,37,50,42,2188487,353574,35280,74844,16769231,29730,10015,5628,math
1.54898E+12,0,-269,-5.91E-05,37,50,42,2188487,353574,35280,74844,16769231,29730,10015,5628,math
1.54898E+12,0,83,1.82E-05,27,30,42,355481,154336,16777211,7291,9707,7839,6132,1499,math
1.54898E+12,0,-70,-1.54E-05,27,30,42,355481,154336,16777211,7291,9707,7839,6132,1499,math
1.54898E+12,0,81,1.78E-05,27,30,42,355481,154336,16777211,7291,9707,7839,6132,1499,math
1.54898E+12,0,101,2.22E-05,27,30,42,355481,154336,16777211,7291,9707,7839,6132,1499,math
1.54898E+12,0,21,4.61E-06,27,30,42,355481,154336,16777211,7291,9707,7839,6132,1499,math
1.54898E+12,0,38,8.35E-06,27,30,42,355481,154336,16777211,7291,9707,7839,6132,1499,math
1.54898E+12,0,12,2.64E-06,27,30,42,355481,154336,16777211,7291,9707,7839,6132,1499,math
1.54898E+12,0,276,6.06E-05,27,30,42,355481,154336,16777211,7291,9707,7839,6132,1499,math
1.54898E+12,0,48,1.05E-05,27,30,42,355481,154336,16777211,7291,9707,7839,6132,1499,math
1.54898E+12,0,512,1.13E-04,35,24,41,1398612,88455,31888,19625,16666,93363,16757242,16747945,math
1.54898E+12,0,-276,-6.06E-05,35,24,41,1398612,88455,31888,19625,16666,93363,16757242,16747945,math
1.54898E+12,0,76,1.67E-05,35,24,55,1398612,88455,31888,19625,16666,93363,16757242,16747945,math
1.54898E+12,0,50,1.10E-05,35,24,55,1398612,88455,31888,19625,16666,93363,16757242,16747945,math
