timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta   ,theta   ,alphaLow,alphaHigh,betaLow ,betaHigh,gammaLow,gammaMid,action
1.54898E+12,0         ,88         ,1.93E-05        ,66       ,8         ,37           ,71820   ,16755845,19392   ,16747097 ,22003   ,15983   ,8069    ,6334    ,rest
1.54898E+12,0         ,86         ,1.89E-05        ,66       ,8         ,37           ,71820   ,16755845,19392   ,16747097 ,22003   ,15983   ,8069    ,6334    ,rest
1.54898E+12,0         ,66         ,1.45E-05        ,48       ,1         ,37           ,16022   ,16752955,1035    ,11658    ,4085    ,1493    ,1036    ,312     ,rest
1.54898E+12,0         ,-73        ,-1.60E-05       ,48       ,1         ,37           ,16022   ,16752955,1035    ,11658    ,4085    ,1493    ,1036    ,312     ,rest
1.54898E+12,0         ,-364       ,-8.00E-05       ,48       ,1         ,37           ,16022   ,16752955,1035    ,11658    ,4085    ,1493    ,1036    ,312     ,rest
1.54898E+12,0         ,34         ,7.47E-06        ,48       ,1         ,37           ,16022   ,16752955,1035    ,11658    ,4085    ,1493    ,1036    ,312     ,rest
1.54898E+12,0         ,65         ,1.43E-05        ,48       ,1         ,46           ,16022   ,16752955,1035    ,11658    ,4085    ,1493    ,1036    ,312     ,rest
1.54898E+12,0         ,25         ,5.49E-06        ,48       ,1         ,46           ,16022   ,16752955,1035    ,11658    ,4085    ,1493    ,1036    ,312     ,rest
1.54898E+12,0         ,76         ,1.67E-05        ,48       ,1         ,46           ,16022   ,16752955,1035    ,11658    ,4085    ,1493    ,1036    ,312     ,rest
1.54898E+12,0         ,26         ,5.71E-06        ,48       ,1         ,46           ,16022   ,16752955,1035    ,11658    ,4085    ,1493    ,1036    ,312     ,rest
1.54898E+12,0         ,64         ,1.41E-05        ,48       ,17        ,46           ,466535  ,23859   ,7847    ,25800    ,9772    ,12439   ,12952   ,18956   ,rest
1.54898E+12,0         ,88         ,1.93E-05        ,48       ,17        ,46           ,466535  ,23859   ,7847    ,25800    ,9772    ,12439   ,12952   ,18956   ,rest
1.54898E+12,0         ,115        ,2.53E-05        ,48       ,17        ,46           ,466535  ,23859   ,7847    ,25800    ,9772    ,12439   ,12952   ,18956   ,rest
1.54898E+12,0         ,93         ,2.04E-05        ,48       ,17        ,46           ,466535  ,23859   ,7847    ,25800    ,9772    ,12439   ,12952   ,18956   ,rest
1.54898E+12,0         ,7          ,1.54E-06        ,48       ,17        ,46           ,466535  ,23859   ,7847    ,25800    ,9772    ,12439   ,12952   ,18956   ,rest
1.54898E+12,0         ,96         ,2.11E-05        ,29       ,21        ,46           ,93721   ,29303   ,13192   ,25960    ,21123   ,3149    ,4483    ,2250    ,rest
1.54898E+12,0         ,18         ,3.96E-06        ,29       ,21        ,46           ,93721   ,29303   ,13192   ,25960    ,21123   ,3149    ,4483    ,2250    ,rest
1.54898E+12,0         ,91         ,2.00E-05        ,29       ,21        ,46           ,93721   ,29303   ,13192   ,25960    ,21123   ,3149    ,4483    ,2250    ,rest
1.54898E+12,0         ,107        ,2.35E-05        ,29       ,21        ,46           ,93721   ,29303   ,13192   ,25960    ,21123   ,3149    ,4483    ,2250    ,rest
1.54898E+12,0         ,-307       ,-6.75E-05       ,29       ,21        ,46           ,93721   ,29303   ,13192   ,25960    ,21123   ,3149    ,4483    ,2250    ,rest
1.54898E+12,0         ,23         ,5.05E-06        ,29       ,21        ,46           ,93721   ,29303   ,13192   ,25960    ,21123   ,3149    ,4483    ,2250    ,rest
1.54898E+12,0         ,113        ,2.48E-05        ,29       ,21        ,46           ,93721   ,29303   ,13192   ,25960    ,21123   ,3149    ,4483    ,2250    ,rest
1.54898E+12,0         ,54         ,1.19E-05        ,29       ,21        ,46           ,93721   ,29303   ,13192   ,25960    ,21123   ,3149    ,4483    ,2250    ,rest
1.54898E+12,0         ,33         ,7.25E-06        ,41       ,44        ,46           ,91381   ,27788   ,39285   ,12712    ,6616    ,9685    ,702     ,2495    ,rest
1.54898E+12,0         ,45         ,9.89E-06        ,41       ,44        ,46           ,91381   ,27788   ,39285   ,12712    ,6616    ,9685    ,702     ,2495    ,rest
1.54898E+12,0         ,48         ,1.05E-05        ,41       ,44        ,46           ,91381   ,27788   ,39285   ,12712    ,6616    ,9685    ,702     ,2495    ,rest
1.54898E+12,0         ,57         ,1.25E-05        ,41       ,44        ,46           ,91381   ,27788   ,39285   ,12712    ,6616    ,9685    ,702     ,2495    ,rest
1.54898E+12,0         ,25         ,5.49E-06        ,41       ,44        ,46           ,91381   ,27788   ,39285   ,12712    ,6616    ,9685    ,702     ,2495    ,rest
