delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
798484,396420,49776,128296,89171,16777054,19353,25893,back
2833332,457335,136045,73904,68597,16754908,10465,4914,back
1039821,228005,68587,16769260,78435,16761616,31566,17401,back
118163,9955,2093,15301,1620,3057,2496,2410,back
723466,16747383,16749378,25472,14086,15101,17951,3712,back
282480,16775442,22025,31141,16744718,16757942,19068,23983,back
670789,74018,6039,12475,2802,18473,10942,2276,back
829056,89341,8398,5484,5135,5784,20460,4033,back
16761716,16774230,20259,9565,18810,23017,24676,7602,back
171567,144984,16764744,16764338,16756471,16750144,18250,5462,back
81360,23542,12280,4967,6104,12706,5948,4513,back
929241,577470,17577,16761231,22769,27894,23276,6679,back
922737,37146,25264,16760280,16764550,17751,29682,13980,back
2433744,36013,16760955,16753657,29828,24671,23839,9593,back
167153,39090,16775661,24093,16749880,16758803,16750758,2782,back
72246,16747490,16762199,16770164,16752177,30011,24577,16846,back
638994,236043,23000,16744632,14635,20567,20276,6470,back
248046,133602,4036,7102,6905,6230,8518,5160,back
999752,360039,18389,10660,20157,16747334,16749719,13398,back
22469,9203,6805,18524,13790,16768151,10065,8014,back
246333,69496,26320,18573,16751408,18407,25242,6103,back
41157,30210,10047,6529,4667,11179,3869,1327,back
158486,16761025,20660,5570,23542,26730,19782,10063,back
880097,150927,16744418,16754762,16761286,27888,11831,8427,back
422802,26981,8644,15705,17261,31153,14677,14370,back
116231,11898,8472,9793,5991,4055,4504,2315,back
262158,16764140,16746709,15219,20665,18490,11021,6442,back
17722,15493,4568,719,23938,16765040,9972,16508,back
349115,16772303,6677,3083,2867,5470,4139,6990,back
898562,240845,20262,16754152,16751961,22088,27430,10117,back
212475,217878,13023,10548,27215,16756209,16756057,19581,back
55137,21766,5633,23269,3785,13086,7096,3635,back
224389,147926,8100,65429,14377,23057,19139,9924,back
75247,88774,12988,16759821,17616,18679,9835,7873,back
41309,37327,16761,27676,16745331,15968,16818,5148,back
