delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
155491,73268,20640,12940,4965,6237,4343,1508,forward
66368,16757127,4634,8116,1708,3570,3898,2248,forward
484995,16766811,14817,3047,9582,14251,11957,2705,forward
201556,9659,10167,2881,3613,2495,2630,1373,forward
483865,102508,16764299,12436,18111,16760850,26271,15779,forward
646604,139716,12206,6886,4520,11521,5402,1961,forward
133384,16753270,7382,5724,7044,7073,9014,2767,forward
149963,119674,10659,8937,11486,15375,9358,3600,forward
466533,16768151,18007,9203,13481,8550,8433,4421,forward
2194123,377668,80560,16775363,6003,16762524,25985,13920,forward
1836934,408189,42985,15906,32065,16748556,94108,8252,forward
366618,697324,16725,70465,107559,16763852,161014,7946,forward
55331,652234,48396,49575,78212,16760256,38328,15191,forward
592990,16763650,23686,7149,3773,4262,2013,1183,forward
205062,6734,4077,3598,4411,1638,2315,1128,forward
372145,138203,14210,5612,4721,8093,9893,1805,forward
1052394,269380,16749197,11535,13839,9426,10904,6189,forward
506255,282866,16762603,8949,31660,16744327,16761277,6267,forward
298211,16765783,9940,6905,5064,13332,19977,3450,forward
526363,16761015,16749941,20490,16256,14984,11578,3453,forward
1891765,360988,68307,33927,16759311,17485,15426,27823,forward
286913,213898,16760947,26600,16767308,16748167,16766900,13439,forward
2628741,622553,133168,82124,31645,16758116,16776277,16749510,forward
1091636,16769246,13288,9489,18579,9122,4639,3263,forward
180314,21205,9986,5938,7657,3027,1778,926,forward
197622,16756939,16750976,3958,12145,17242,19007,5883,forward
2457228,310885,16762520,16760177,16755828,94347,16764453,31153,forward
85374,16766819,15296,13770,1478,6100,2432,4121,forward
193013,285608,18059,10842,18317,9292,6856,8439,forward
1163553,16775376,2791,4162,5396,19943,7509,3288,forward
563515,980988,210023,268265,92877,57202,293481,44295,forward
165562,57480,18200,9873,14275,4878,22676,3140,forward
159614,15118,933,15658,454,2835,2253,401,forward
1220334,64028,14965,28260,25724,35749,16764491,9344,forward
267075,21089,9252,1113,3305,1715,6259,1690,forward
177255,17202,16777213,2525,2463,1765,2937,1023,forward
