delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
732349,111391,680242,21170,89478,91992,23248,29914,rest
276818,3224,14239,10757,5014,21929,1355,7207,rest
992384,16748792,45387,17561,14818,16766997,6884,18280,rest
262064,6148,4760,1334,2024,2566,704,2121,rest
632464,2912,22227,4570,6104,3882,860,7409,rest
112524,7887,29659,1602,7004,2665,704,2502,rest
1633691,15406,16749146,4635,26013,14721,2576,17868,rest
2068348,16750065,52828,6347,20907,16763143,3339,15876,rest
527320,16767695,67989,16754069,16754701,16768314,20441,69600,rest
790643,30270,329821,14756,26679,15956,4353,15326,rest
828065,16748471,80004,12466,23313,22009,4153,14645,rest
1912953,29435,74762,5369,25840,6759,1559,7169,rest
16776897,14895,16759200,1107,11554,1839,1150,1803,rest
16774562,24546,12006,5759,25152,65941,783,9810,rest
53801,16904,27548,973,1247,10756,16777205,1584,rest
59157,16755737,16744559,5622,8229,16753067,2831,3328,rest
151765,71781,16766720,2946,13833,11777,3334,9097,rest
16776993,88562,15221,1875,3144,19858,941,4921,rest
16758130,16775141,22028,3012,19603,20175,1542,8956,rest
94060,15302,16751463,1821,3887,4044,2280,7580,rest
284224,34508,62065,3008,6984,19237,758,5336,rest
45063,5901,19586,814,3197,3740,557,2643,rest
16749730,149462,20387,2832,13294,12374,496,6067,rest
16766349,27681,44220,1664,6786,8402,1625,4722,rest
29853,16749499,16756401,1264,2510,16765434,2045,7352,rest
16765713,78319,13006,2423,2115,7069,1702,2615,rest
327075,14105,86562,2140,2340,16751346,1142,4915,rest
542676,16756988,93820,1715,5301,43987,2510,7556,rest
49011,22418,22732,691,2966,13250,510,1887,rest
16775655,3934,15207,2782,3431,12347,214,1563,rest
16758625,16761698,16774715,1503,5832,13050,614,7265,rest
11522,21422,16776939,3500,24959,16759739,2048,3463,rest
16753992,11847,30614,5319,3460,14203,698,6722,rest
92324,21410,16746442,3782,17761,31284,1295,10905,rest
25229,22477,19356,1515,10292,10168,1255,5869,rest
34230,16766655,16751496,1950,5458,6234,4409,4102,rest
16763337,7540,5924,412,1538,8051,16777157,1193,rest
159698,7611,19746,425,2115,1887,147,1187,rest
27110,16757777,16769698,1548,12713,16759859,450,6070,rest
116916,29751,14800,798,4240,8686,16777198,1939,rest
16773225,72225,50536,1535,14383,16750400,1586,8871,rest
16750583,16773560,16763356,940,6887,14815,1295,5462,rest
16773252,16766057,16770448,1694,3108,14950,1098,5110,rest
16774438,16775490,23536,4904,12965,7150,887,3738,rest
20337,16752665,27888,2521,5390,16754739,1880,6061,rest
16765380,27511,29111,3632,10381,27941,486,11452,rest
24278,16755678,25499,1998,8014,16750855,946,7183,rest
16755025,16754514,71803,1503,4627,10920,977,9506,rest
13487,16758610,28620,1205,3569,14104,1967,9475,rest
17300,17280,5488,1001,3609,7835,1313,4036,rest
16748207,37201,20832,1341,3994,16814,666,3509,rest
70532,25257,14066,892,14632,19885,1937,9684,rest
25639,23057,25016,2553,14368,19452,3063,2831,rest
17214,91320,12146,1766,11467,20342,1932,3744,rest
13618,81728,28505,652,30054,12559,747,7340,rest
16755306,1467,16748903,2391,13340,31181,1092,5184,rest
31120,16776249,16760326,1683,16509,81858,1645,8986,rest
80063,132263,31297,2993,7607,1962,2246,5901,rest
16756782,131196,27751,947,4940,13470,1137,2778,rest
16754214,15055,80508,738,1203,4914,16777101,1846,rest
25022,15831,16753606,3409,11036,21139,3011,6252,rest
40916,32057,20145,129,229,1218,145,2081,rest
16767139,23918,26340,1260,7666,32139,1107,7134,rest
208741,16752560,21075,3455,9135,16755563,1562,9375,rest
16775843,32303,24974,3091,10316,10439,1005,14620,rest
16763889,16774137,28509,5432,3470,18110,2542,5698,rest
65853,16765824,13546,2580,9538,31020,1303,2831,rest
44870,69037,25249,2175,6637,12296,1349,8600,rest
19621,16751988,10624,3378,8909,10860,1425,4961,rest
16746270,24426,16744393,2380,11892,9887,1816,5062,rest
16745279,7603,8652,1533,8462,17711,1128,3171,rest
16749083,9547,16710,3683,6289,1918,803,5162,rest
12437,16754679,22966,4798,15492,6408,1993,6004,rest
71516,16761492,10965,2731,11053,19953,926,6920,rest
16749912,82670,27399,1118,3752,6946,1115,2394,rest
31069,16777059,20573,1867,6102,25070,862,4325,rest
39167,16759537,99820,3309,4356,12636,1137,9679,rest
77066,11047,28060,2131,11962,73257,543,2497,rest
16762473,14248,16774655,1945,13775,11908,1202,6044,rest
21586,69443,16747915,2223,5234,8758,395,3341,rest
29051,16766285,21565,3966,5595,6192,1580,5607,rest
20476,16756414,16750704,3144,4196,7046,2608,4959,rest
25659,36593,51997,5770,7675,16750936,2578,2665,rest
95255,16746525,11826,1610,5690,13372,864,2159,rest
19034,8501,16750994,1382,10388,16750050,950,5786,rest
6672,16772634,16758146,1792,5217,2546,1613,7218,rest
16747164,16754432,25102,1002,5501,20024,1065,10622,rest
26395,14509,16755866,2508,11984,12189,743,6224,rest
13114,17930,6173,838,7432,13877,2621,5380,rest
16776990,16746487,80140,2444,5354,19043,753,5695,rest
175755,16771480,49152,1747,7751,5333,3432,4923,rest
4067,73771,16270,2364,10668,21339,1492,6839,rest
86492,6418,20712,923,1785,1816,279,2149,rest
50595,11360,8120,566,2718,701,362,1227,rest
17956,25092,87972,1564,7825,28116,713,9133,rest
16757239,58304,29126,1770,13725,14435,1452,7143,rest
16767081,16761635,16747967,3381,5021,16455,4479,6113,rest
16744936,31997,29178,1282,9083,16311,426,11611,rest
17069,16748778,18863,1471,11832,22432,388,2477,rest
16751401,55868,16958,1241,12462,16747406,2654,13782,rest
4122,16767757,31986,2390,11767,21548,2419,8345,rest
31788,2377,20826,3176,5791,21744,640,9078,rest
30370,140253,31097,1240,5483,8020,1230,6519,rest
25339,16748691,31345,1211,13163,16763547,977,5166,rest
16765292,16751993,26217,2852,5124,22408,1128,8655,rest
16758121,10425,16775983,1537,8953,24101,3576,3429,rest
65665,16746507,16770489,2291,5907,6709,699,3267,rest
16770482,16747561,12169,2284,4157,8175,814,2499,rest
16207,164073,16769958,3631,3309,7759,951,3388,rest
121670,16761346,79051,3877,16284,12854,1974,7462,rest
187577,19591,19851,6313,1502,4970,2251,3482,rest
790652,16747544,31288,3579,5965,20100,1658,13221,rest
16767293,22884,21019,1628,5876,3943,1957,9677,rest
16751221,23858,20024,1625,19090,16751921,933,7693,rest
13189,23198,20175,3284,10229,16748485,1283,3854,rest
18118,7164,17090,1008,4880,12184,1670,6056,rest
27936,22096,9179,1211,5723,8036,417,3463,rest
16746490,1584,73517,2176,18813,28679,3286,5112,rest
13772,16760492,16766318,2619,13796,10596,1277,8033,rest
16745794,34989,31906,1573,9343,23468,814,5026,rest
30385,11385,12805,2645,4794,8924,862,5891,rest
16759172,30190,69475,3781,15062,9377,1764,6653,rest
30608,12578,16751458,1178,6642,8289,1205,13237,rest
32325,17242,16744950,4271,6170,13286,1161,3154,rest
132003,28409,16752768,1133,10237,20376,2173,6667,rest
15134,94296,16752066,3309,6404,29849,1512,7542,rest
16754977,55157,16752325,2623,5802,9537,1326,4311,rest
16777001,3774,20615,583,1674,1986,313,923,rest
16754430,11563,70063,3288,11641,12725,1485,5593,rest
30963,13372,24399,1796,3906,21635,1478,4487,rest
32162,4976,11817,2816,10073,17758,660,5943,rest
16773936,16770649,24031,6267,6325,22060,1297,2506,rest
64377,7705,5573,250,1668,7224,566,1295,rest
16752893,10515,5475,3029,12246,15353,947,6445,rest
21261,23030,21954,1270,15865,24207,1443,5685,rest
73726,16757393,27625,1348,7379,14814,625,4413,rest
47291,12362,16760271,3306,6736,16766040,2620,4480,rest
16753681,85360,16747863,2031,4993,73855,1798,8740,rest
6069,16744650,24995,2271,8638,15256,1803,15669,rest
30704,16755438,16758714,1782,12679,22059,3158,5926,rest
163964,12704,16562,1458,3079,9063,951,6423,rest
14832,32770,16752773,2984,8917,8384,1401,3459,rest
16747021,16762555,14206,1733,3245,31981,1013,5267,rest
16746790,68384,16944,1796,3336,30025,1064,4763,rest
16753101,62810,16768817,969,9468,16763246,1338,4701,rest
27458,43108,20836,1868,14820,21461,1587,3860,rest
16766143,16766249,16763561,3120,13993,24709,1199,8792,rest
32434,16753973,30603,3832,2256,26988,1595,3096,rest
16760369,16747393,16764336,2471,8175,16774288,2352,5592,rest
16751560,25861,16746235,1456,16896,12514,708,3137,rest
16751363,19916,26900,3368,9825,8522,1262,6184,rest
152193,8951,38644,6960,10757,12210,1398,3462,rest
73071,10285,16745581,1916,5820,16764949,1314,10682,rest
35355,83920,50137,2368,10674,16749792,963,6939,rest
27969,32929,16773231,2645,6994,18623,2555,3301,rest
16751124,16751342,15143,1852,10198,16759802,397,7494,rest
78334,14288,16759360,1805,10852,16748938,708,6089,rest
19601,23558,24087,5339,4952,16768431,1273,7860,rest
16748854,16762117,15903,2920,23091,12774,808,5440,rest
17882,40102,16764750,835,20728,22252,1968,4043,rest
16755158,25575,16745760,1591,5716,9048,924,4249,rest
12825,85064,12397,3866,7561,17250,849,12912,rest
277519,110479,75650,1445,21723,20095,500,11222,rest
31271,21429,26586,2564,7904,6200,1334,5297,rest
16761793,16749425,12336,1575,10207,6757,1958,9401,rest
9218,16759656,8607,2449,7059,31535,1531,6251,rest
9611,66391,16746091,2360,11538,22916,631,5651,rest
16764970,10947,27898,1933,7697,13760,2823,7167,rest
16765304,21226,4755,296,1103,14498,268,1214,rest
24051,22305,10676,1235,13624,16745405,419,5560,rest
16763987,96655,27650,2494,3272,16755572,840,18783,rest
50427,16757608,28843,1865,22275,4445,1012,15111,rest
12493,23848,28086,2155,5933,23892,854,9374,rest
16760655,30243,82928,1181,1548,3655,639,2685,rest
26893,75176,10577,1429,12805,3354,1518,4449,rest
16757369,16767374,16751632,2307,5373,14482,1628,5201,rest
21955,16769087,19599,1890,2821,74755,685,7270,rest
67184,9991,19461,1491,7508,10151,1014,4709,rest
16768795,12630,8024,959,4287,16769121,845,6097,rest
31286,28043,14153,3498,19087,20450,847,11620,rest
71328,21280,21373,2158,11815,25210,1389,4559,rest
16757738,12058,25102,2150,8946,16748468,1169,6588,rest
21975,76932,16769942,2608,7941,73467,2067,3850,rest
158198,16746408,10791,2235,4320,16774540,1056,6447,rest
15977,16752251,16757812,734,6590,19814,1556,3713,rest
29199,96262,11930,2249,8912,21375,1210,4989,rest
7592,15393,12703,1099,11997,26078,1641,6954,rest
16749400,72318,17564,1489,7368,28675,1859,9496,rest
16756513,199253,74835,5643,4885,9717,1734,13972,rest
16752658,97459,35270,2124,5703,30662,1063,5746,rest
13306,15431,23749,1589,6667,3798,1875,5138,rest
16746967,17862,20639,429,4543,24957,1177,4951,rest
16754978,19246,17187,1660,16807,6285,2520,4898,rest
24046,19682,45112,1730,13368,10232,2677,7822,rest
28143,28708,68408,3092,7415,9138,499,4466,rest
82870,16766851,21324,1694,5051,2230,2567,3981,rest
16754008,16749719,16753336,3487,4911,10890,1613,3563,rest
114929,77306,50206,1251,6399,16746009,860,5042,rest
86780,20052,13874,5814,9370,5063,558,11374,rest
16748212,16772373,16758073,2495,7800,9982,1611,4882,rest
20455,24705,15893,4097,6158,6875,1796,9839,rest
67977,1094,11768,777,1493,2136,16777208,761,rest
16744659,10572,14798,2584,2981,19018,1529,4516,rest
590361,16745757,26577,5106,8859,16750894,1830,7439,rest
9950,19863,52516,2787,6848,17846,2759,7509,rest
16731,26996,16756879,2293,11967,25650,851,6888,rest
27709,71301,26811,2681,21083,9376,1471,7227,rest
25464,16767612,16747855,1911,6845,16748358,1002,2539,rest
48339,19753,16745236,2325,11333,16745028,1465,4418,rest
39364,31159,68352,2816,5679,4142,2021,7427,rest
51097,5378,18323,3454,15414,16748510,586,4314,rest
129862,31996,68775,4373,5048,74089,407,7710,rest
92425,19535,16773743,7893,4328,13906,1435,4303,rest
8931,17440,5348,1714,2309,30918,1002,4543,rest
52469,4811,22228,813,2425,3642,334,1360,rest
26688,66667,6077,2354,11408,19360,754,3498,rest
21532,28419,16775037,2862,6614,16744393,519,2767,rest
26675,16766276,16759513,2590,13936,21640,2050,6137,rest
16764811,17424,32267,2387,9989,7989,932,5994,rest
16775063,22780,28876,3260,6338,6840,1016,4204,rest
152097,3859,5860,294,959,4792,407,1965,rest
22835,10614,32097,4047,7446,4866,2426,21148,rest
14709,6153,16747757,2958,3023,5094,1575,7754,rest
29250,16753824,19472,2536,8191,25013,3192,7644,rest
16751864,16755721,15979,1496,7648,11897,1139,3896,rest
16748872,28576,27036,2480,9612,17880,1007,2511,rest
24957,17288,16745543,2747,6464,17758,1626,2653,rest
29540,16748667,19420,3064,3139,13710,885,5283,rest
16215,4029,21761,1068,4594,6032,1065,4780,rest
72698,16755512,17960,1624,2971,7797,993,13917,rest
16747816,14045,20465,2544,8513,18137,1412,5964,rest
16756011,4238,16758117,3572,5929,8750,959,8257,rest
25466,16773220,13410,1090,6917,16762369,1753,6574,rest
16747065,4309,16756786,2575,7332,10394,682,7027,rest
16772610,10566,15959,1110,17934,84572,496,4635,rest
46411,32507,26776,2142,7535,20092,1588,4990,rest
20506,55972,30810,3555,8370,14082,1044,9817,rest
16754267,16764427,25959,1733,5067,9457,1119,5354,rest
4362,22572,18434,4671,10920,14103,404,5040,rest
16760155,7487,16755506,484,6181,10240,879,4800,rest
16771102,16747385,11122,3407,9294,28948,468,6818,rest
16757990,17345,69073,2230,8358,19136,3381,8260,rest
16761550,14116,18496,1246,6972,6867,567,8047,rest
93772,1022,30702,1463,6862,13123,788,19039,rest
613496,16760507,74614,1584,2422,11153,1512,6868,rest
18647,8210,16752597,1851,8414,10790,684,3999,rest
16759300,18857,16747500,2740,7111,22383,726,2284,rest
20092,90191,14759,1189,18184,18365,1061,7228,rest
58223,30362,32552,2289,14203,31792,597,4569,rest
16754236,14114,6944,1862,9083,14452,1217,4821,rest
15158,134711,7711,1537,23812,82902,1238,4531,rest
88596,16748607,28900,3173,21912,5102,3487,6139,rest
16760232,16757914,21604,2079,8376,2101,174,6369,rest
16767815,46039,13699,2180,6561,14141,404,9730,rest
226002,92580,22266,14176,19782,30181,3945,12051,rest
87953,16776573,31402,13139,11176,16750242,11822,13873,rest
16753890,67988,21350,3313,6327,3191,4220,6082,rest
20296,16766945,19488,1230,5535,16768895,1030,10010,rest
29214,51119,16147,1741,6518,10537,486,5082,rest
26891,16763202,16748087,1472,11086,21372,794,3585,rest
16750257,16749572,9793,3866,5935,31926,1319,4141,rest
16757805,16754961,16761103,2807,4734,10121,551,9111,rest
16765797,87879,62547,608,7428,23820,1653,5287,rest
16749538,14275,31501,4396,3833,9553,1142,7254,rest
10101,13820,27921,1922,8271,11057,1133,4010,rest
77282,16753967,27116,3889,6973,14373,1213,3664,rest
30748,31130,11409,2770,10689,23365,2665,8391,rest
76037,12737,16759712,2477,12000,6437,2455,5769,rest
35464,15362,7442,1440,4723,11688,1751,3306,rest
16767759,4271,15721,2382,5629,11941,1902,2207,rest
29468,16776279,72377,3953,8649,17754,1031,3548,rest
16215,16774801,16751201,1330,13040,30651,1270,5198,rest
145903,16619,21416,2268,4199,7099,1065,5049,rest
16751122,12959,16745196,3004,10002,18756,1693,7346,rest
4610,69102,6343,1014,16649,70383,876,6266,rest
16760156,25407,16747835,2138,4302,16053,733,5589,rest
29228,31718,6653,2513,3925,12776,1863,10487,rest
16760674,16768881,11769,1943,9279,16761665,652,4902,rest
16763711,64236,8827,3197,23209,9525,1724,8458,rest
24953,19754,6350,1776,7013,12890,1942,9427,rest
69039,21764,16770750,5590,9872,30159,138,3350,rest
18182,74564,69710,2645,3493,7493,386,5245,rest
16751431,16745102,24992,1653,16430,31917,1917,4579,rest
16754735,26510,18726,1837,4829,7165,973,11617,rest
16744962,31325,84159,2560,8666,9419,959,3395,rest
27180,54054,27734,1298,15814,3646,2591,7277,rest
16768550,16757612,25373,1400,9335,18504,724,4752,rest
16765194,79740,24114,680,12308,65733,980,4417,rest
16768346,16754830,16753689,1070,14918,19009,692,11431,rest
16747107,27489,16750802,2757,7560,16762400,761,7105,rest
16751223,16751406,16774149,1318,12828,21981,986,4893,rest
32556,16769885,9433,1345,13791,24896,864,2699,rest
31138,31642,16751440,2393,6477,5717,1695,3920,rest
55045,31573,16756917,1693,6684,13719,1585,6326,rest
23492,71920,30475,4430,6504,67559,845,4631,rest
5316,24705,16777047,2029,7212,13587,979,4954,rest
24448,16748682,37627,1465,8921,10786,564,4994,rest
16751696,82909,16759637,2862,9782,26994,1168,5113,rest
28512,17670,25396,2426,4381,13767,3339,6531,rest
59532,16758030,16748156,3700,9647,16744697,788,9421,rest
25508,16766326,53014,1640,13433,20558,802,5442,rest
16749540,16772794,16745630,1764,17623,16747738,1048,11154,rest
31499,19328,16536,1765,18559,16772332,646,7708,rest
16763278,11529,13115,2056,6417,23727,1034,5252,rest
17464,1902,15382,3041,10853,10153,668,3775,rest
16764956,65977,26032,4548,14630,27179,1900,12171,rest
18996,17494,28475,2407,6964,16745995,2480,4883,rest
9128,16745987,22102,3065,4891,16751151,1146,3993,rest
16762086,23216,16747173,5385,9584,7662,719,5210,rest
20628,19270,28931,2665,11755,16748838,1823,7157,rest
17297,14421,15589,3307,5286,3513,1910,6484,rest
16746289,3758,10088,713,7299,5861,1211,7703,rest
16766541,6357,16754834,2523,13130,22824,1932,6340,rest
16752334,16760077,31322,1449,12350,16773353,1349,6443,rest
28324,94515,16761639,3266,28112,21441,1637,4591,rest
27002,16745415,16760786,3238,8696,16754834,850,3438,rest
16772007,75101,16746993,735,6254,17439,485,5616,rest
73450,150804,16752379,1618,6630,5573,2179,6222,rest
20281,16771125,31542,1480,13421,16751919,2624,5622,rest
16752628,16768138,16776480,1300,6725,16762726,490,4243,rest
17530,10525,16268,2210,4638,16760048,1206,4416,rest
16756215,24282,10053,3695,4582,25414,1191,12918,rest
19270,80166,71421,1436,9909,18510,1074,4877,rest
16770426,57641,16769464,2293,10013,16768311,923,7903,rest
35883,26461,66870,2019,7713,17686,1161,4570,rest
16774124,11060,15380,1264,6609,11461,497,5941,rest
16757837,17485,16751835,2965,22702,4940,1403,4201,rest
16748291,16745901,22040,2578,7085,24195,899,9380,rest
17989,16751261,13087,3264,4593,10489,1304,3518,rest
16758445,21374,16766612,1608,6665,29447,1732,7737,rest
16765225,16752732,11841,754,1729,31556,968,7414,rest
16766467,29152,16748257,3996,7241,16749318,2166,3886,rest
16745359,16752944,16755046,471,8344,16751795,793,3918,rest
48869,16764278,16756282,1867,10575,22226,1625,5934,rest
23569,10095,16746980,978,9637,12952,813,9986,rest
16744561,17065,16754418,2327,8437,16774356,958,4509,rest
17905,20119,19630,3058,10022,17827,989,3397,rest
16767189,3918,20170,927,7978,27204,1878,3234,rest
68190,14789,10927,1701,7948,21737,1312,2856,rest
31571,18323,20105,445,5411,17539,158,3807,rest
20998,24417,26346,2270,3072,21916,491,7328,rest
16745324,16752375,10307,1226,5569,13382,1348,5209,rest
16681,32425,29213,4063,15326,10406,495,9599,rest
37925,16759023,20867,2174,4010,25282,1686,3448,rest
16755722,16747881,32346,1911,2036,16776618,1484,4427,rest
33968,26042,16751966,1887,6741,16757371,623,10216,rest
16765647,42829,13821,1390,32449,15431,1500,8869,rest
17380,28480,21034,2564,8734,16752463,1717,5131,rest
7045,28113,16769286,2676,2621,15748,1681,6688,rest
50912,16748797,20970,920,7341,16746766,993,6205,rest
15617,16763520,16747391,974,12200,12157,976,5303,rest
26919,18453,86893,940,4502,12067,974,12580,rest
12493,88994,13463,1615,18689,17474,759,5084,rest
12364,76843,30640,1609,9723,16748866,1070,4812,rest
32324,16751251,16752156,2415,6741,82597,1007,6351,rest
206981,16760476,16758125,2639,7448,18852,1059,6641,rest
16752494,19951,69616,2718,9516,19365,898,5520,rest
96332,76109,24346,2843,2884,9172,1718,5720,rest
86245,6457,10965,1193,6540,4579,1400,4560,rest
140847,16764038,15431,1581,6845,18000,178,9257,rest
26356,16747589,16761207,1961,8074,15193,475,15119,rest
11868,16750862,17418,929,9620,9639,1281,2504,rest
16764163,32256,68472,2066,5133,14828,1025,6011,rest
16751744,17244,29360,2365,9381,14508,979,5844,rest
18144,27863,16751676,7427,8463,26825,1504,5009,rest
59980,4743,17393,4161,7567,4289,1609,5675,rest
65569,4828,27474,2649,6749,21358,802,16912,rest
44529,6078,16757117,2910,3853,16746571,2493,5931,rest
32788,21310,16750454,2085,9037,20658,1685,4205,rest
25897,13814,16763931,1910,23450,16747691,1385,9848,rest
16744395,9774,29027,2382,7750,15465,450,7118,rest
16767827,10379,16488,1508,6193,16079,481,3344,rest
74802,23555,23899,1200,7225,16755215,1802,3542,rest
16756828,16745104,16768023,2007,3229,10424,1147,5600,rest
16747396,16761153,29666,1764,17296,16771150,737,9138,rest
23408,16763039,9404,2925,2065,15146,1348,10829,rest
15811,31500,28434,1257,3244,24548,456,6935,rest
80040,77948,20411,2494,6831,25562,162,9195,rest
16760106,16744562,28385,2210,8037,7646,1791,2559,rest
