delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
779623,66674,16744950,16756504,14538,4573,7377,5112,back
2087085,16751646,6527,16548,18053,20396,15895,10264,back
357706,42420,13126,8312,8760,31685,17330,5277,back
74445,9808,4149,6209,2604,3274,1759,4486,back
11290,23722,4217,31646,21702,16836,11450,5010,back
1948935,999341,491918,46935,16770962,84339,16761761,30375,back
716669,726471,163404,19131,52253,16765507,31635,21400,back
840387,370198,82263,16771815,26134,16764456,20660,19370,back
1782306,1062712,16763521,14730,33893,79858,96588,24880,back
154826,16763393,27118,9887,3911,3503,4652,2126,back
1778168,47956,42327,30157,16745874,26458,16753675,21251,back
1197292,36553,3979,7965,12146,9408,8694,3512,back
2049741,304557,176023,68697,16751226,16758110,42462,16763326,back
988413,811389,44123,55560,16749966,32515,16768515,14590,back
233702,16749938,7955,4153,1921,2908,3260,221,back
68621,19798,799,141,544,491,1313,156,back
2485738,665147,95511,75766,223777,100800,57701,30295,back
625652,18447,17619,32558,5501,7667,5510,2057,back
190133,16747196,6040,6252,1017,1741,1431,1264,back
336420,191693,37932,16773258,16758570,28572,16749040,18130,back
2810620,201855,25467,28465,23285,20370,29553,10944,back
436598,16747465,22418,14203,1796,4337,7534,2582,back
2099063,390921,350993,93224,63071,16759771,16753447,16752781,back
457721,216406,16752661,14365,10723,5604,14000,10074,back
1250035,646955,136790,107335,89035,68285,16774446,8628,back
519830,206814,27045,16761139,16760550,16766250,16754909,16749186,back
1512075,131478,16746634,11591,20859,15234,13976,4168,back
959859,80381,20129,5104,16759687,16282,13020,5466,back
76340,16753885,8217,2703,3216,2920,2147,469,back
1259518,79522,16766556,25298,26169,27645,21734,6550,back
137306,16764500,9333,2912,3539,4101,5215,1177,back
477926,16770568,15200,3904,3121,8273,3981,2628,back
1051435,82530,16745184,23308,16761085,28517,18305,13475,back
173281,280381,226180,16767261,66767,16755026,22486,19297,back
1599347,128918,16765912,16749869,5225,6977,10769,6533,back
871325,86138,31292,24001,12886,6946,13074,1232,back
1372513,31088,12301,4615,6028,12340,7587,3920,back
988609,135917,13032,12332,3430,8222,8332,1990,back
796298,417179,16755900,16751467,21309,16769130,16751605,12521,back
569724,473656,135510,16768127,21157,16764525,16745901,9215,back
886506,16755497,13766,13476,5656,6971,16336,2940,back
1088630,284196,463935,16750510,89486,16753027,22564,19710,back
124431,27105,7437,2185,1233,1493,3646,876,back
512751,25420,6771,951,2061,3133,3746,1188,back
655919,107099,16773947,66390,32122,23198,16745302,11424,back
1153081,151192,39222,16748913,16756723,26355,16768549,15191,back
987018,147678,21188,5892,11708,7349,8794,4549,back
1870099,638101,97636,31544,14218,16750522,16397,23992,back
164348,20897,3670,4013,2729,2869,2238,1225,back
1201011,56647,15679,24372,5802,23921,23126,2037,back
1646521,580357,16765311,16766087,25530,31219,22281,16754018,back
292299,7324,9087,7058,4483,3800,5859,592,back
462818,142069,23627,23342,9037,7799,18540,4525,back
2724600,507654,290192,16754727,73777,59574,59843,32579,back
2189490,360726,25912,16752751,27047,16748575,19327,7149,back
1409605,66581,10606,5304,11826,15599,5558,1460,back
208228,79607,16766194,14639,3418,16080,17629,8145,back
145378,14797,7784,1566,1211,2165,1061,1624,back
1131892,760479,34269,27224,29343,84860,73452,12456,back
2142988,913797,215200,71561,18110,109506,122777,16770730,back
1867217,381000,114696,9237,58881,74508,32135,25969,back
2551538,1233397,125783,158992,127293,105953,104240,33423,back
2378666,61573,10213,25737,15962,15110,7444,5018,back
406312,47959,28290,19186,10095,9528,10295,10857,back
1188678,346498,74824,84244,24986,24522,16747965,13867,back
235932,284229,22514,16747164,23076,31114,17914,7386,back
654183,527460,16775305,71615,49499,37876,70737,17747,back
605339,32009,5517,10997,12824,8093,3512,9081,back
1968909,485471,20728,16746612,31334,16768231,68111,8589,back
649352,52977,8019,26417,7155,9297,8380,6967,back
1352586,115436,136752,20886,27812,29130,27410,24771,back
903269,142876,16775119,16757163,17580,15223,17338,3277,back
1020990,16751046,13848,12460,3902,1948,5021,1069,back
661933,53495,17188,10309,18930,9668,13676,1751,back
176964,162892,2189,21068,8021,13550,8654,1188,back
79477,14935,1227,5682,4133,2601,1674,909,back
40198,71184,27882,9975,6859,3589,7489,1427,back
592192,154119,16760633,25907,13309,10159,4025,3712,back
502890,16775886,19781,15402,11953,10351,7878,1590,back
276080,159849,16758714,6506,3529,15854,6349,3593,back
30626,22245,5540,2665,700,2345,1564,1503,back
1304357,72974,12171,14003,7116,23398,7100,3191,back
1346575,80094,58828,74744,65673,16761530,16774478,4967,back
832127,80643,16748599,26923,13048,15711,12228,5727,back
834961,401658,88395,16754569,22921,16745551,22751,6963,back
758542,452300,182558,16768039,23498,16756277,16770896,20708,back
963435,81130,30374,8773,15704,17555,19382,2706,back
1981197,54538,16762846,12881,16751937,30827,21357,18972,back
663776,56457,30880,17363,10370,19221,18210,21583,back
44796,16776783,10280,1218,1523,2573,1377,1597,back
1377924,507025,106292,16775051,16751027,23759,29235,26985,back
704249,578192,71625,16754293,16755944,19413,29793,14943,back
1097366,36252,190458,54776,16746040,27189,19045,19444,back
1686380,139672,23350,23274,7185,20472,11523,3703,back
62825,9927,193,2312,7873,2303,3184,368,back
1292785,281498,7261,16757265,16764953,16753994,16755196,19743,back
998016,175301,66928,16763709,14668,16750844,16756103,7041,back
948119,105501,8797,20679,24513,23856,27175,11118,back
1618471,1588974,39444,16757677,160200,63450,155944,69148,back
173700,42508,16757510,75602,11260,11018,22518,5428,back
1925586,296797,214455,16771536,137149,52453,87225,31846,back
996204,16758964,31022,6335,6911,5319,5769,1225,back
623000,12292,695,3227,3484,2176,2819,1728,back
558605,52720,5405,23080,20366,16882,28018,14901,back
578002,20779,12414,2582,2113,5456,4361,1121,back
46398,48418,9505,13570,15292,4833,6604,1942,back
9670,12387,1893,703,1326,2442,1352,174,back
229228,13705,7090,2087,949,4956,2301,877,back
610961,97452,30991,16969,12421,6360,11099,7123,back
792048,61446,11602,6068,5445,7272,8789,2814,back
609209,28865,1311,2640,2206,1039,2619,1335,back
1740904,201216,16763075,20591,24048,32546,23548,15260,back
574433,294873,133208,16769662,16768288,27248,16753688,15892,back
100041,16752154,15460,3870,2865,4138,1450,2807,back
118354,81030,21917,7441,3105,3682,5722,1243,back
800411,302473,156946,136296,16774648,16748609,16755938,19591,back
266791,42442,19708,8550,16489,16455,8170,5900,back
83637,29155,10553,2907,1687,4471,1786,628,back
357757,162722,16748378,10185,10399,16757565,16744464,17222,back
2094688,422185,48197,96161,16751950,87549,68899,30273,back
89121,17757,3979,4596,4976,3561,10703,3530,back
80330,18078,6212,7257,2210,4548,3989,407,back
1843828,737038,73584,16765080,16756576,16768170,16747476,20517,back
984281,365858,214348,30823,16776271,16765663,73639,11668,back
526933,108701,60111,16766253,16744851,33829,68395,21575,back
244975,30264,2236,5981,10350,6967,2510,1108,back
2007180,2118309,214882,21691,16747567,56148,16770858,27775,back
603624,16766684,3842,1815,1437,3000,3181,1019,back
985445,128064,26054,15083,16422,28349,13745,10306,back
1380968,152793,36689,21449,14796,75235,15308,8527,back
583340,79633,16323,10279,20223,14281,9375,9092,back
95792,42568,16762090,16347,1683,5762,10724,3278,back
873828,16764076,9603,9722,7315,12007,6424,6659,back
1767172,155194,40559,16770116,16746121,26905,13905,3447,back
292370,16745971,18720,14808,16660,8354,5145,4507,back
834426,39902,89612,16746237,18273,12093,15484,3662,back
16763693,7609,2257,3986,398,2655,1123,856,back
802092,172260,35078,76714,16765135,85778,21964,32383,back
318461,21444,3562,17639,10585,10300,14605,6407,back
270746,1780372,102853,16771977,16750481,16756090,16770449,16745290,back
59701,16761601,5866,4213,2127,4104,3515,3594,back
621977,172084,26476,16295,19143,9816,6903,8573,back
685918,153881,4115,16754985,18792,8297,19359,3490,back
685465,273046,31830,28767,11945,8579,11488,1310,back
243687,37859,169734,82036,16755740,17154,16437,8235,back
1425476,1254648,132038,68999,81116,16764910,16760717,16392,back
2247353,150094,12276,18561,4886,5298,6482,3321,back
928298,224527,138818,87416,16747086,16761537,25961,8567,back
507758,46348,4952,28604,15928,16744592,25382,8264,back
115861,16768173,27335,5613,4352,8925,7423,1050,back
1240337,358637,92693,69297,16753949,16768985,16744495,16750830,back
168259,16766669,16749548,17001,13372,15481,8233,2404,back
1086030,136978,94267,16762981,19345,16756270,16748196,27202,back
2376352,135986,28569,72885,11078,16773838,14950,19110,back
1048498,268857,12691,23997,20820,16144,10202,2093,back
1445724,151926,16773621,16773698,27178,16758552,30214,8482,back
503226,28400,7668,2551,3045,9897,7873,3851,back
1136864,16753725,16755567,12067,14561,6248,6389,2142,back
859432,22006,22981,16745073,6111,9096,6483,1878,back
343192,17256,11189,4800,4823,4604,8806,1570,back
16774945,91597,4698,6745,2090,3024,2296,1338,back
562993,95832,13838,15090,5027,5386,6113,1939,back
800334,246993,36841,20020,92737,16762689,16757479,17654,back
1111985,286644,16746199,21071,16754477,16763319,28011,12316,back
771094,216968,26086,6878,10229,10271,5964,2513,back
270403,16754657,29052,7463,7604,12265,23858,5055,back
1088589,267059,52405,6658,16752386,16749833,29462,28461,back
744449,24550,9157,7325,8014,7895,4613,1421,back
498701,16765382,29302,16758419,18692,17111,18143,7647,back
1155377,192356,14104,16755267,16752244,77855,16745343,16243,back
35252,75867,12420,30175,16769480,26493,23824,6779,back
567794,267206,14660,6932,24909,15501,19268,3399,back
809629,84144,16753441,9509,20546,5516,14665,3453,back
1805723,54105,16765708,12146,19746,16749674,25997,6625,back
169960,16747339,19231,14481,6219,5625,2952,1340,back
858167,77004,76625,16751225,16761334,16744927,31925,16748979,back
378509,264706,103455,16760035,97877,16749302,30030,14775,back
481975,114273,202480,16760663,16760794,24512,9909,14472,back
1867855,32285,22011,15341,6636,15644,4192,2878,back
522247,16750748,22547,3311,2075,6059,5960,4989,back
676696,468224,73983,16749299,16753800,84765,16774882,15835,back
939139,101885,15878,3910,7429,7046,10151,2238,back
212547,16745163,11509,2736,11581,9673,6637,1322,back
320394,273787,9839,16343,13323,9418,10142,2338,back
