delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
521212,121449,16762182,32394,29936,6092,6199,5299,left
740821,16776225,16761861,67968,5338,10488,5350,7206,left
16757390,16749676,16767246,135979,7738,7288,5316,2482,left
27432,16763087,29208,16772658,9762,7504,7685,6937,left
16751318,16775395,16768578,16759447,20385,9528,2457,3078,left
543797,71448,16773232,12911,2635,9420,4744,3544,left
19677,7990,38392,16747156,29459,6266,3149,3149,left
16771560,96479,16772447,91196,7653,14719,5606,1370,left
1747712,88619,5774,24918,14751,12701,9151,4251,left
38786,26959,15541,16403,6503,2887,2881,2737,left
12334,18047,32138,13004,11628,7947,5071,1394,left
79624,16747755,22801,7091,7388,10525,5778,3817,left
18830,70511,16752739,16746770,10318,5178,3401,3220,left
28326,23557,13024,11174,6345,9395,1724,2968,left
194734,145850,16751698,80025,5434,12911,3205,650,left
124904,8334,16776979,74961,11889,8445,4582,1426,left
179688,80008,41773,28478,13350,6117,3803,965,left
16757319,16756097,83565,16756190,5894,8344,4908,1451,left
92424,28520,14598,24191,6352,8755,5077,1856,left
224525,60682,21307,14560,11994,7759,2295,2565,left
16744822,18956,16777084,24909,4785,8571,5130,2037,left
401681,77178,6244,34677,7712,1509,4622,2963,left
80760,18429,6687,9739,2003,1818,726,522,left
424373,47355,21629,13153,12764,11767,7405,3951,left
20628,16751498,71826,16772021,10018,6708,3615,2266,left
18789,21104,79801,16745918,8066,8635,5175,2822,left
18152,31422,10169,26861,19664,4979,2741,1560,left
16755878,16754435,16774614,16748907,8398,6524,3871,2590,left
16748034,13134,16748476,75992,7868,6334,9008,3660,left
29575,16414,16764745,32359,6983,6166,2670,2269,left
15052,26772,16772647,23389,5965,9542,3744,1252,left
6297,16207,10716,16746148,13727,4983,5344,4608,left
17774,81856,27759,9946,17480,21471,2568,2402,left
451474,16760663,72838,17865,5308,8107,7428,2112,left
186526,38807,28029,15373,10423,6603,5972,2934,left
31195,10664,16746826,84769,23622,9422,4979,3464,left
16770027,16769182,61172,1773,3118,4166,4004,2253,left
16772579,16749592,26461,20989,4625,12341,2717,4080,left
16746,30580,16747910,20847,3201,7599,7783,1471,left
23124,8504,6036,28547,9357,7713,6381,2669,left
72908,10959,10769,13374,2503,2539,508,224,left
16767914,17311,16768169,16764263,6602,3362,8740,1576,left
19574,18157,12985,16122,7546,5488,2777,2759,left
18928,16760273,16757412,27620,12656,8064,3048,3674,left
24080,6820,16749386,13527,11960,11599,2699,2572,left
6218,22543,16744740,9927,13966,6200,3444,1609,left
28993,16752411,16761196,32226,7921,6677,2042,2708,left
