delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
478592,76668,16764344,16744627,17702,7322,7282,5355,right
96687,3761,17886,11623,1849,950,2324,862,right
9027,17039,28850,25147,9256,5303,4237,1393,right
16752127,16746022,16754969,26696,13348,15468,9594,905,right
92735,11810,16766695,17083,2429,2663,679,314,right
77512,25105,16746818,16039,3833,979,780,393,right
640808,16759248,16759246,16767479,13283,11794,5488,3654,right
74684,16754519,16768734,16747559,10215,5424,2942,6808,right
11607,25656,18141,16774793,22805,4421,1808,4129,right
75799,13708,30215,2653,9029,1889,254,310,right
16763983,23186,87134,26111,6478,3513,3881,1510,right
45774,3272,11415,6637,637,841,840,250,right
13255,21114,26452,26205,3840,7517,5141,3441,right
141142,88664,16750978,78248,11280,13656,1761,1059,right
76050,146166,18281,5607,8952,10130,4878,1168,right
29635,20453,16760248,26093,20363,9319,7242,1397,right
16754518,69825,16758245,16770246,8201,7393,2477,1180,right
19226,15050,16756942,29440,5371,5158,4501,2869,right
16763758,28038,23729,16746168,8020,9918,5029,1789,right
16076,95348,16745123,68668,3198,4338,2668,1054,right
82518,2060,8511,3224,1281,2443,670,142,right
36844,16773951,20199,16760743,11219,7755,4427,1032,right
16775166,18790,7102,2511,2952,3851,884,129,right
29888,22013,55941,13471,8761,3422,4916,4149,right
418451,20430,16763089,16776268,10941,12814,13387,1937,right
16764782,25744,25450,16750051,14293,4050,4981,1519,right
360869,16749822,16753745,17006,5480,6903,3928,2473,right
16748458,22454,20068,13803,7050,4523,1260,3088,right
1093521,26009,24685,5146,20420,5104,6531,2491,right
16757650,20060,71080,19691,19164,11959,3569,2321,right
306173,31057,14157,13231,7402,10596,4229,727,right
69749,4766,37671,16750858,5623,5972,4280,4336,right
27326,16767253,39789,10563,8383,15922,1964,1288,right
22519,9667,68997,15636,5850,7948,3245,1259,right
112111,71322,85041,16763516,10836,18483,2528,1342,right
156119,9272,14233,19584,3788,1260,1497,508,right
21096,32615,16755700,16760759,9224,10261,5543,1719,right
23701,16772731,73701,16745555,9365,5768,2899,1484,right
26478,16763618,13214,8562,10003,6238,3942,1295,right
16776139,133793,7319,16744707,3681,9063,3555,4689,right
193457,49388,24536,15817,17200,15321,7462,1455,right
25113,20839,68600,16770555,7431,4153,2557,1622,right
24505,16768050,16756675,68016,16563,5536,8631,2350,right
40462,8581,8484,2042,729,3050,1691,333,right
27073,16748770,68690,16762542,4053,9371,3124,4424,right
16745088,13483,75697,21706,19436,6352,5635,3195,right
26077,16747681,16765985,89062,9344,4204,2311,709,right
26306,67545,16745773,16745377,11405,4691,1510,2116,right
42897,16763180,16750493,7665,4592,8795,2214,2571,right
30256,31463,16378,24359,15695,5090,2221,2742,right
15462,17154,81392,12138,13752,5420,2924,1494,right
16748494,28705,16746722,29440,9738,16253,1705,3511,right
16773311,19385,8643,12471,10380,4590,2276,1169,right
79012,85599,75022,16776262,17496,3749,4381,1614,right
66213,6230,4436,5977,1349,1546,1035,416,right
16761679,18361,26807,74761,4091,5623,3293,3404,right
69100,16765832,29553,16770271,5341,4855,2328,1207,right
96757,16771131,10934,7175,10491,7720,3760,1476,right
41875,84956,16761596,15873,19440,9195,3241,2672,right
7314,21391,16752831,3247,9564,5571,3795,4267,right
16748307,40323,16752052,13344,8261,4882,4436,1794,right
33305,110402,16771466,12183,21532,4876,2743,1829,right
16761473,80514,135588,14645,4435,5281,4537,1345,right
16759806,92480,21658,16751315,8346,13015,2013,598,right
16751927,27044,43678,26812,7477,5667,4471,1531,right
16773048,17572,61975,19821,11986,4883,3656,1398,right
16755907,16753879,16754614,17239,11614,4399,5955,1696,right
72511,16768344,14717,3602,8214,5213,1929,803,right
51180,16754535,16752669,21720,11493,10731,1573,2025,right
68378,26820,16744490,9574,11009,5419,5070,1634,right
16770328,16747696,32011,16744578,6853,6432,3931,1318,right
33677,16208,10056,4795,1789,1240,465,447,right
78889,16765447,149939,18289,10977,9123,2556,888,right
145895,16757052,19796,22233,7345,8039,3030,2399,right
23378,8892,16884,9584,3589,6518,2337,505,right
16764834,24130,26636,31081,14859,9708,2432,1043,right
16757689,16768532,36450,7760,4522,6714,1576,1074,right
93504,34654,24478,13398,13910,7691,4332,1339,right
16761630,16756089,97408,10760,7606,9149,5959,2055,right
447338,66280,65853,14990,11380,7036,5299,1648,right
24065,16759048,16758123,7781,10362,8393,5252,1451,right
16763559,82699,16766764,21369,13306,8264,3807,1269,right
16757847,135768,23497,14211,13278,3046,3027,1402,right
132011,16762210,77435,10786,7149,3719,5515,1575,right
16746456,26296,28233,5019,7295,6429,1430,1170,right
97503,137141,28480,31971,8952,5811,2540,1103,right
18916,16758733,138821,13973,9071,13203,2753,969,right
60630,11850,10260,4906,2968,1215,708,228,right
16751861,23151,19445,17638,9995,6098,3518,1352,right
55223,134789,16746809,8659,5307,3579,5964,3165,right
16746293,13523,147903,8282,14718,5268,1209,1892,right
23285,22237,11498,16749150,11677,6526,3015,912,right
16744592,66074,16746335,7581,7078,3993,1698,2652,right
16759172,5847,32397,20589,3529,12280,4718,2301,right
21181,21076,94188,17404,14317,4164,4691,1013,right
11869,12907,5925,11646,6759,3785,2520,1626,right
16754710,16759018,16749450,27223,19016,8809,4299,1884,right
72911,16762455,16756546,16763301,4504,4658,2602,1355,right
16756897,16749211,16766841,8239,8805,11595,1942,3137,right
65446,19761,29193,21023,11655,9537,7660,702,right
70331,16753040,8121,6923,6385,3438,2039,616,right
70242,87320,4575,20189,9959,2272,7149,1608,right
970816,80615,98007,16758310,14646,12038,5748,2096,right
16744486,51469,16757972,16764308,7648,12975,3639,985,right
