delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
115560,16752697,11288,9195,6720,7573,3203,1109,rest
57479,16747090,16751740,16764634,5631,9737,10401,3698,rest
215580,59803,16746577,16751343,11676,8107,9849,1882,rest
209537,103902,158737,133324,89088,16749761,30475,4488,up
1162166,16769846,21157,30442,23547,20494,12359,2666,up
993339,445339,59366,11961,15704,28363,16764922,15629,up
190558,10444,1949,3553,3950,1637,1479,864,rest
16766687,71833,16752192,26302,21919,9220,12504,3458,rest
555062,16776746,2300,16786,7050,19283,14948,3614,right
70496,16754941,10285,16744810,22096,13089,17761,8201,right
847570,76813,13577,4242,10746,13248,6347,2442,rest
67341,16752712,21968,7159,13982,21586,2506,1938,rest
16756773,2979,1051,10026,1399,4663,2539,623,left
74294,16756885,4334,5052,32026,26900,16610,16185,left
496894,85266,16768061,24185,16765932,7653,9539,6079,left
71273,16746960,3991,8923,3529,8265,8191,4787,rest
26194,28628,10409,10692,8251,11501,3361,3112,rest
101491,16758802,9813,22995,6089,7512,4383,7238,down
16746870,9699,16235,15391,6460,5480,1250,3447,down
190767,75384,86696,20583,12548,19222,6282,6468,down
7844,15394,1287,7101,14241,10442,3190,2307,rest
16775537,14249,13875,23983,4800,10396,4800,1772,rest
349753,278835,190898,145024,16761843,86989,16763479,16764413,up
1653878,87643,12240,4989,8999,18404,29886,13132,up
746340,497454,72088,42506,16759251,16746903,32102,11505,up
68786,27039,5453,4128,1583,4086,3086,436,rest
69425,16760417,11679,2584,2471,3249,1336,1652,right
289990,16757848,8720,30534,23386,19565,18863,7851,right
77708,16757497,4264,10731,20151,12755,6682,3347,right
19943,10383,4787,8369,11718,8703,2762,992,rest
16763058,16756503,6668,17251,16570,21801,2082,1155,down
454710,74927,4402,20160,65446,30961,17045,6226,down
113034,80229,26857,17243,4106,14622,6412,5100,down
16758244,24232,141,11887,9257,10829,9040,10902,rest
16759909,20388,5328,14256,7462,8028,4908,3563,rest
89297,16758740,16748022,15920,16753494,15706,8057,2606,rest
788782,16766491,8827,7979,11140,2064,2566,1626,left
67384,11476,3007,716,776,1129,484,16777113,left
633346,81897,13161,15351,10538,9646,10867,15573,left
481364,74028,26088,6627,9954,12673,6015,8505,left
16767875,14044,2037,15070,13060,6924,9816,3946,rest
16767290,23200,9037,31107,18312,8803,2743,1512,rest
96092,117804,35182,16746668,16746291,32264,12799,5251,up
1181585,16776324,11871,16746042,16749994,16763885,76994,24194,up
470938,46625,11179,23101,25684,16771098,16769877,14741,up
377083,16750866,16911,11926,26645,13195,12739,7690,up
1215399,81016,16772988,16768508,16760010,22519,16745158,24262,rest
33496,16759775,639,16746555,16934,22540,15804,3514,rest
444928,16747036,6509,16749550,29239,16391,13873,2698,right
16757518,7858,16751879,31193,17610,29820,15507,5766,right
734242,16761823,11734,12607,6812,23001,14589,12146,right
88844,16745963,3227,6254,4034,14407,4476,3126,rest
10626,22884,11191,22368,13120,18101,3174,2605,rest
16774249,92675,14174,16766473,11514,7455,5155,2448,down
25264,16749843,16755187,16747191,14520,5259,9925,6379,down
96605,7481,766,2005,2730,1114,1244,850,down
16760735,22039,3714,13126,12334,19605,6719,1212,down
30068,23124,13428,9381,11455,11550,4861,1848,rest
76077,16753305,5137,21247,7114,9474,3606,2939,rest
995964,417140,16766698,20123,16745352,17819,10432,7411,left
141904,10827,9754,5856,13302,14562,13115,10761,left
412964,93065,92837,60545,16317,16754692,31824,8893,left
117685,20867,20138,25076,8946,11068,11226,4073,rest
16753801,27160,24820,22768,31672,12112,4565,3071,rest
177351,9584,1776,4375,2426,713,252,16777135,rest
21824,30760,29085,11681,16749727,7557,4333,4307,up
361539,44557,24587,10596,2863,9498,10078,2806,up
211516,44669,5367,7108,17252,14932,5100,8748,up
127608,147995,28188,23864,15987,22587,11964,5792,up
1878536,1263968,195780,77260,16756338,132710,99099,16766191,up
194155,50316,18453,11774,14653,15233,29092,3080,rest
16769657,8107,19861,31696,15979,31811,7132,12012,rest
27293,21735,8845,8194,9874,13741,5818,3711,right
16756375,19903,9060,16744563,7036,20960,24732,5473,right
38827,22709,5288,4531,16964,19665,16957,10921,right
383559,16766592,25563,27941,14643,19464,15813,8117,right
12505,23677,13941,16744981,8544,8285,5126,2263,rest
217532,16849,19479,14088,5098,9091,3969,4829,rest
68888,83851,12130,6591,17878,10951,8378,1650,down
247362,20788,16761941,11142,12590,10974,12911,4469,down
69324,16746769,19646,19105,17350,21106,6561,5643,down
394966,42307,25661,14346,4782,18904,14909,11425,down
16747454,16714,4829,6203,10399,14799,5910,663,rest
16750098,15709,5095,5530,21862,9039,8956,1440,rest
32308,21774,2803,7076,12568,5328,4094,1372,left
464339,284872,2252,16748896,17705,27637,4602,10349,left
93259,16773114,15951,16753,16769250,16746640,9206,5251,left
43862,49653,15184,4126,8346,7551,1877,505,left
414239,289354,24669,16758218,16774665,16745887,16761069,7801,rest
179195,30680,6642,4283,9330,4170,7362,3264,rest
617816,85013,16749483,16745042,16748731,16767459,15268,3450,rest
160875,16746873,16750015,5531,9841,9884,5852,1985,up
937281,461715,16986,16765387,16749674,16755864,16767328,28379,up
120610,69530,17901,11194,14985,16745986,24179,15994,up
