delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
1037969,1481475,303581,353827,164749,166021,16776421,83248,up
1420818,581912,1817442,296423,503256,295100,205797,53983,up
1021015,32811,16747028,26840,16774102,25178,32558,18870,up
1884712,1693606,425216,16758220,146500,47182,119773,16762837,up
360584,199597,70367,16767020,19328,80310,16750556,15244,up
204656,16748847,27097,10193,2931,3179,10400,2502,up
1044392,601869,16761164,56977,119668,238259,92356,69308,up
531673,16772749,18824,4775,22600,14349,25833,15327,up
1405264,33353,16745154,12423,67381,18785,22939,8589,up
1330410,227453,19234,197879,27561,149478,16762568,16765061,up
2359188,494340,16749141,279428,92044,69194,341464,82918,up
88016,416072,211180,19289,16357,19969,16759,13863,up
1652617,471224,16774286,162214,69718,16768507,75686,20567,up
2008836,44598,15365,16765873,9991,22195,6751,4479,rest
1012243,250972,26224,16756391,16744408,27718,6113,4917,rest
16768587,12133,3569,4947,4558,5186,8284,3552,rest
1304162,88715,18642,13078,6053,5881,8363,3095,right
1110670,477293,133295,98446,41203,82891,16766632,16758439,right
1200418,388634,223488,66198,16776482,16773928,16763193,16756300,right
1233251,434446,31180,53192,68380,36727,16767335,16753105,right
1447426,70176,21458,21807,22001,14187,17641,15344,right
1054972,44103,20498,17743,26509,25199,16748608,23751,right
985846,194210,276064,197457,161987,16769070,84928,16751982,right
140649,24319,7238,2856,20424,5304,9077,3517,right
1794787,1443824,250086,73223,85755,16763843,110937,16759195,right
1568739,337225,135169,207511,146418,67166,64194,16766791,right
1483160,536461,105789,341331,129634,198461,282689,76240,right
533203,29864,9638,19591,4442,4251,15088,13618,rest
1208956,16750957,28934,11265,17390,11404,5695,2900,rest
133691,16751749,16763248,12054,23333,27696,10105,3755,rest
72662,16757135,21160,16762009,17039,4249,11945,4176,down
712312,41238,31854,12158,16747388,9907,8525,3454,down
1209216,224546,12971,21510,16747507,8089,4952,2558,down
539183,1634352,222931,35752,122108,130536,83464,16751871,down
1236214,1993334,13942,218531,160337,35455,16757096,16772108,down
1219610,492375,116194,236567,35914,42614,42986,26630,down
989051,136520,13997,16638,21091,20977,17540,6907,down
954660,207240,154815,33633,19658,11086,6190,7994,down
637780,109784,18012,10358,19576,13787,12341,5827,down
736951,20728,2606,5743,707,3193,2234,429,down
959103,33409,22148,13912,18511,20023,20046,8843,down
820763,78640,20384,7743,21582,21857,12156,4950,down
1132468,16768223,12916,31632,30574,13009,9588,12852,down
68035,31913,3788,6102,7192,13259,2324,2797,down
439147,16769511,7754,718,4697,3641,573,336,down
204050,82317,16756294,14209,16744724,15351,4534,797,down
825941,244846,9640,28124,16754707,16767980,95070,16759602,left
358066,334810,28692,16764196,16746883,27073,23127,18832,left
966554,386137,811032,186920,33125,16775519,122827,16758033,left
875261,306229,23678,16748316,65558,16752325,17433,27275,left
617515,866394,12446,85960,232429,130980,85935,35527,left
1345016,876164,127999,283167,378075,168822,102443,16759681,left
138299,16756549,5168,18244,7666,9867,10687,10046,left
877034,209966,94518,16756046,16744745,28243,16744854,28280,left
2021636,823546,304118,16750914,107192,77621,81421,16750407,left
1276362,1127018,225007,199879,53742,70408,151240,78758,left
287577,41945,84889,79419,16762957,23690,16754380,10704,left
514878,721917,95229,95602,16752925,16763842,16776586,16752564,rest
16758884,15406,9783,16749041,16170,9550,8011,4811,rest
16751135,31310,7361,25207,2963,4529,5398,760,rest
16771173,16744982,19030,29210,7426,5196,9634,7909,rest
1005571,366766,121511,97857,16769225,16775796,53643,16762781,up
1678913,2137425,1417513,903933,740799,522735,294178,193816,up
542787,95368,16769953,26402,15959,14044,16768462,13230,up
1121530,16764547,21097,18714,16762273,24156,22284,24791,up
1593004,818416,198827,286897,80757,98225,96784,16759659,up
300176,158642,117723,16772123,19636,76442,16756364,26899,up
588346,16748513,16755436,16755301,16760912,16760121,16771439,16749978,up
784304,161603,77370,19095,71425,100673,16761443,78208,up
1447422,669974,69108,94105,213043,204562,170164,57635,up
1125176,171635,225792,87252,157968,58701,50051,16767883,up
554664,203562,210479,92909,16770423,97972,44124,16762359,up
44798,25413,13317,16760347,27503,16156,96624,9314,rest
29176,16757111,7415,14052,16479,18917,6205,1868,rest
124683,24455,30184,21416,5574,13600,3807,4996,rest
136587,310748,131461,94584,184659,68760,82007,24690,rest
713996,350618,272726,91008,139782,16769572,16759874,16758123,right
768580,422903,134138,156279,94696,16772988,66424,16746055,right
81000,30604,10079,3674,4336,2735,4247,1166,right
160189,37951,66119,28942,7358,6557,14501,11168,right
2200800,397716,107816,37322,16772691,68521,16748110,27472,right
1916628,297204,136228,16765422,44934,16755924,16746568,23357,right
487197,16755399,6273,1453,16750090,6605,10648,8924,right
2809382,1242110,157464,215996,140868,37320,39770,151595,right
279757,97121,16773257,16750255,17289,7471,9061,4921,right
250220,120037,38873,16768,12548,15210,21929,10461,right
620631,70707,9565,6413,22275,9615,5102,6419,right
663089,29419,21654,7070,9115,6409,7748,1016,rest
47231,16757674,1422,22952,16753391,6879,3333,4846,rest
78521,23544,13807,5752,17541,11075,5871,2187,rest
856986,294467,157003,45951,16770256,16757948,13813,11954,down
545648,12896,3731,12903,4925,1489,510,823,down
376515,495732,16769585,95086,16772471,16752890,16760398,10279,down
96781,14188,5728,5457,2396,1352,1993,189,down
780653,1104547,19011,16747328,16750584,29913,16766582,17382,down
2175411,86451,29541,14504,14200,3744,8291,4863,down
745912,82827,16752779,16481,1692,3627,7017,2554,down
356710,225193,16749511,18617,29273,26278,12729,18178,down
949562,16754361,19954,15472,8666,5995,11609,2537,down
364394,16754690,16751832,8858,5561,7627,12655,4050,down
426340,94044,70329,16764731,26234,23167,16745621,10455,down
1037924,16773541,11477,9248,13000,7892,18664,6941,down
938191,35372,15402,8241,19549,22363,9101,2193,rest
16770404,14677,11937,16760500,5665,6818,5773,2152,rest
