delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
16749298,7492,1651,1897,695,1040,494,184,forward
16772866,30917,17729,19278,6762,5174,4174,2138,forward
1203284,3541,3326,24621,7316,12114,17091,10793,forward
144654,25341,4946,20566,6537,14082,12735,3681,forward
9845,8786,31609,7029,4229,6455,8455,3724,forward
139606,28752,11296,3872,7024,4140,3148,233,forward
62594,24447,17207,10600,9229,5697,4990,2004,forward
483824,73333,12845,16744470,16574,10852,16771,9880,forward
508173,129202,93088,20397,15619,16532,16749234,16432,forward
1065575,61162,16107,10211,5680,8808,3869,3265,forward
406487,191620,15742,7885,19712,12402,8555,2681,forward
1535468,247236,16752184,29173,16748542,18748,11356,14910,forward
16757925,16746192,16754222,30059,18874,25780,13702,3536,forward
29956,23258,16745966,9427,12336,12148,9185,2662,forward
97685,19583,16895,10393,10365,15758,23637,3847,forward
69571,14524,7048,6729,3228,17596,2519,2754,forward
1016452,108775,16752942,13798,16889,14317,16748900,15504,forward
371508,16747149,8044,6540,2843,6077,3560,1425,forward
26228,30291,1321,22183,18930,11917,7573,3948,forward
10545,16753485,19191,11653,2804,23883,14542,1008,forward
16770787,16775398,11747,16755026,20310,10693,18453,7154,forward
15436,16597,16721,16757539,9005,16873,16206,3940,forward
754017,12410,7317,20056,15221,8024,7976,4243,forward
99560,16758011,10903,16747282,17170,15360,10362,6855,forward
13154,16749797,4287,4550,9979,26184,16138,16081,forward
16747076,67236,8236,31814,3055,9767,6299,2533,forward
30656,16746319,5856,15893,12670,12818,8709,4407,forward
205961,16753000,2551,3328,6351,8619,2766,2638,forward
16766740,4367,4018,6670,3710,6879,3156,266,forward
16777023,16751733,12811,21879,3905,10329,7927,9768,forward
16745427,26031,20783,6006,13015,12144,6882,5329,forward
8811,16746029,18923,13728,3325,14710,14664,4735,forward
21800,24020,32494,16748949,9258,8851,12531,4760,forward
941870,43080,7725,24485,8496,16746186,8753,12837,forward
16745349,30296,5611,7194,8935,12557,10327,5059,forward
290118,16775303,6638,11711,10351,9126,20106,5456,forward
75925,10953,3410,10119,5394,1836,1749,2290,forward
107174,78551,713,12615,11210,18322,11620,6084,forward
82352,16752680,2822,3357,2149,7248,2776,1787,forward
77017,10379,1112,7778,2439,2739,4126,2594,forward
91634,14184,2749,11185,5868,5550,3082,1503,forward
30084,16748376,2513,12570,9493,18004,6037,3249,forward
17259,24557,12613,26122,7179,18360,10552,3702,forward
22208,27226,2876,29117,11255,7346,8333,4558,forward
16773347,16751472,20469,19863,10494,8990,6032,10140,forward
90412,20629,11233,14068,17972,10366,6473,2959,forward
1218318,48686,16753981,29440,16772546,32526,10540,4203,forward
1467427,203849,16775209,16771603,13666,16755382,19355,18374,forward
653502,78938,16754593,16767683,12539,20047,16747386,19098,forward
846088,81360,8461,8977,9080,12894,10774,6968,forward
20014,17249,2588,24617,15248,9818,9717,2965,forward
16758263,23940,12799,7599,15800,16396,11687,7702,forward
71678,16760780,13527,11497,4734,22477,17663,9190,forward
834952,88044,54512,20906,16641,16767319,17566,9827,forward
804373,31105,70539,30983,11322,31177,24218,1311,forward
69621,28023,20928,16825,9774,21763,24804,11909,forward
207593,96575,16772912,15519,19548,21386,17229,5864,forward
2525651,95460,16770680,16762421,32408,29939,12924,2576,forward
492019,46656,96053,22415,16773638,19934,8143,19181,forward
23992,17477,5495,12022,3692,3302,1568,1352,forward
20723,20510,21867,6940,1061,5602,4738,2276,forward
66141,16758873,9463,16758037,14018,23282,12947,10514,forward
49372,16770745,29484,15995,14387,7464,18925,4244,forward
129544,188855,71466,16751704,21662,24102,7139,4184,forward
46964,16747951,16362,28816,15750,18180,13320,19131,forward
147092,133133,26554,19433,8172,10064,3462,2029,forward
857225,19138,4311,2837,3429,3699,1679,982,forward
260019,16763479,16760816,11879,22405,16772643,6887,5358,forward
239981,43757,8713,16770942,12582,12309,11228,5836,forward
236603,119859,27428,16751582,17132,28223,4303,12145,forward
248222,133254,18567,14634,7300,10469,10523,8219,forward
564883,60966,11631,19001,16748088,17851,12181,4510,forward
602952,16745689,23600,16748913,16748792,14307,5821,2032,forward
