delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
326627,226926,122912,54660,16768747,17996,15428,10912,forward
65942,21464,11014,15239,3388,5646,1364,1723,forward
16760071,22350,19735,21207,22988,16892,5606,3633,forward
266746,16772679,705,18703,10076,6718,8030,2062,forward
1521667,621706,71026,8605,16757433,18629,24223,7311,forward
362376,13529,12068,12768,2117,10072,4269,1228,forward
301062,34945,16759159,22199,13564,21674,9192,15203,forward
520033,98426,16770461,150769,53753,59857,32552,13356,forward
1321822,773955,64876,88518,16748765,24526,15926,24051,forward
323778,147285,29587,16774769,16745954,16745781,10530,3408,forward
404835,97392,16757115,16759663,14432,30966,16676,7283,forward
1256726,743335,18247,78753,48927,16756694,24237,24875,forward
211607,16772912,29134,26513,16769051,16751296,9963,5489,forward
1854647,111155,29512,19337,10780,25054,8681,1255,forward
397328,151623,12477,5828,5194,8644,4224,3433,forward
158023,22799,10372,2866,5185,2194,2193,1916,forward
553972,278945,138620,89816,16752011,16766038,16747017,14683,forward
37120,26262,6262,15770,11484,11732,9852,6531,forward
1881745,53880,45834,65439,23249,9143,26441,14581,forward
1837366,161167,6026,16758945,15096,12996,25557,17561,forward
196649,8363,13032,15432,5387,6867,4143,2703,forward
1080132,74446,18252,22307,6454,9192,5629,1253,forward
1255053,71172,13178,11962,5777,11552,5167,1431,forward
127284,79924,3728,18669,14812,26174,12529,5705,forward
1867894,39249,28995,132627,16751348,32347,16749687,3579,forward
1037821,76635,11606,18068,16751235,15543,11209,6104,forward
1261320,125733,16532,36718,16748599,16753655,25553,8507,forward
197020,19388,26719,9989,5554,4483,3617,1092,forward
689460,37751,14590,4088,4524,5142,2394,2053,forward
113148,117811,14670,17848,17193,7987,8345,5137,forward
899335,142152,18223,16766989,15306,13139,15069,6629,forward
424307,89222,16755371,65793,11636,11281,4179,5718,forward
223619,8062,3413,2346,530,740,1044,241,forward
833618,16762026,16763366,83780,26415,16752402,16747940,5332,forward
1039576,141914,31067,22765,16771946,16765600,23359,12525,forward
439059,12250,17282,12865,4165,6245,4421,1504,forward
104819,8356,9443,14579,3024,4532,2265,1097,forward
635257,72037,133,9254,12802,3854,8939,1666,forward
563269,366515,16753192,18519,20843,16756707,18441,17228,forward
117009,16755499,11971,10544,3035,2748,3292,581,forward
540179,133337,9034,16748224,10897,6130,9023,2426,forward
943969,148748,14783,16748753,17931,10276,4589,2337,forward
308780,16775485,20198,3961,8365,4191,3118,715,forward
578048,484820,79406,111099,70216,71102,81152,30482,forward
125543,19612,1434,5466,3509,1993,762,377,forward
236924,241909,15545,14623,13747,24993,22307,6885,forward
1372284,99629,87609,90316,28841,16760744,21473,17549,forward
698060,275909,16759985,16754708,13264,14257,22086,7247,forward
351355,66728,5943,15133,9988,6884,9938,5966,forward
1090962,16765938,18724,8358,11139,9619,4745,2270,forward
188101,16770016,22812,14812,16758571,27462,18109,6187,forward
625526,165218,153630,17353,14220,16776577,16746481,13366,forward
778459,16749725,19111,16032,17682,7195,3849,795,forward
441407,133357,22434,16770916,16756600,27616,15063,6366,forward
468880,231953,6413,16756356,4030,19139,10547,3012,forward
133757,51834,15318,31127,13278,16090,12219,5528,forward
776434,371627,8362,89640,13927,16744608,9325,4790,forward
441503,16745406,16745298,16754841,19449,9513,5061,3586,forward
34683,21065,12288,11572,24195,9914,11187,5204,forward
209161,175918,22819,16747382,17099,5462,9502,3258,forward
599886,81186,16772144,16756795,32280,26657,12374,5225,forward
508604,23379,5044,13485,15872,16279,9499,4722,forward
810853,20748,2054,17233,4245,3009,5864,855,forward
390405,207525,13342,16756312,110800,17864,26642,10608,forward
203859,16766521,27953,8008,10865,7559,3734,2371,forward
1264369,254392,168055,26464,26125,12747,30457,18006,forward
16749440,12027,7449,4794,4893,3930,3550,1272,forward
184947,28389,5855,9809,8725,6327,3345,1073,forward
577612,27018,16750545,22752,6573,3430,3188,1680,forward
380881,16755614,13625,14209,15327,7059,6759,4105,forward
326960,16767696,4614,18419,5928,4227,3412,732,forward
153167,22395,7068,9270,1736,4242,4262,1608,forward
1501083,123749,19904,207250,73051,16762788,21178,9661,forward
56967,13484,1024,8942,1849,5622,2210,16777201,forward
443936,791743,16775981,73457,55368,16746453,16749838,22409,forward
688911,16769364,14399,18617,5491,5047,2536,1624,forward
342706,74019,23944,49397,16745617,17008,17222,9751,forward
200363,16757184,17147,7480,6722,3822,3680,1639,forward
119096,76538,14584,5935,27283,4057,4644,2991,forward
