delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
106962,89386,16744935,21771,13272,4340,3868,4985,forward
70114,16767320,23203,16611,20766,29303,10805,4210,forward
621939,38546,7679,10541,6478,9603,6090,956,forward
1146334,278971,16762076,16756062,16771888,10789,18440,6406,forward
1462305,121179,67095,16747107,16754535,16757463,20231,17759,forward
58117,16775087,1495,65468,16753780,23475,24393,6464,forward
831336,70827,17318,13184,8329,13986,12320,6913,forward
279208,16767714,16758265,16749746,8789,10745,14030,8315,forward
300131,556820,35768,14638,67243,25923,24320,15298,forward
2294096,140134,16765290,29870,22098,16759081,21151,23052,forward
67038,17670,2926,4596,7730,7571,2978,2765,forward
95426,16746555,15823,16751792,25356,15507,13375,25594,forward
57710,16696,787,2241,2029,2526,1240,670,forward
163896,16765198,5489,5503,5036,2817,1192,1792,forward
46843,30400,3298,8965,5881,4536,2382,1057,forward
88501,16769615,17765,20005,18869,7308,9743,2153,forward
138238,31885,4746,28679,5501,11613,9977,4009,forward
22159,72451,16752330,18098,10302,10068,15012,6448,forward
1018401,16770010,8709,11318,7918,4836,2990,1007,forward
209916,123108,18775,26050,12739,11565,9701,2973,forward
121659,25634,16748902,25805,19745,15118,30770,4055,forward
1540472,57578,16749140,18831,12027,30539,26852,16782,forward
652177,171272,16768094,22615,15613,14746,28262,13440,forward
72104,8176,4142,8079,6455,4757,2329,3134,forward
639229,145051,65643,65484,16749150,30320,23409,4555,forward
138977,16761978,17866,16764792,24801,22190,13674,5258,forward
16766476,78930,16749716,30888,12791,21126,11966,6491,forward
53468,46799,11792,7566,13588,28921,21570,5859,forward
384721,16748848,2364,3817,1758,3506,1268,455,forward
128805,5740,4734,3043,5091,4316,1927,632,forward
420178,15506,15391,6183,8765,9636,26190,2547,forward
466544,60164,12890,16745572,16749803,16753123,16773111,12993,forward
384049,64783,15016,30664,5444,24275,9795,12803,forward
373046,93988,16746935,16752285,16765190,25949,21570,7250,forward
69140,16749841,16760634,17563,11064,10096,10486,8132,forward
103238,10347,2552,3460,5906,3558,4845,1562,forward
470779,16766391,10533,16745505,16254,8940,16748329,4191,forward
150861,75755,30364,75271,32435,28172,16768953,7726,forward
399973,16772513,11678,16750610,14909,7537,3042,2101,forward
182429,52875,16746930,28385,31314,25636,23053,11797,forward
826032,73109,18199,6346,4326,6148,4954,2715,forward
282446,16771101,16152,29144,15200,27404,19735,6863,forward
1516229,115218,15548,16753324,28689,30720,26691,15094,forward
16774326,16753615,28242,17114,21944,20741,10449,12799,forward
16772920,83873,84156,16762395,16748606,14379,14724,13536,forward
643266,113659,2591,4471,4908,9929,4786,2280,forward
566966,16772472,16748003,31428,11434,16766838,16748480,9090,forward
602867,116743,6381,16746918,17506,20634,27560,29314,forward
16772624,9155,902,2049,8820,10673,2226,2488,forward
844381,283472,16765722,7691,16749522,25713,15843,10196,forward
338620,24455,6764,16747863,15656,12175,16707,2433,forward
1303692,203818,7039,12109,25959,6188,10513,5768,forward
139133,16751433,8848,16761494,18326,21657,15549,4689,forward
406301,16775536,18148,8398,10070,5732,7784,1580,forward
484298,28778,5844,1659,4738,3550,3532,1384,forward
33042,16762502,11490,10796,12868,15558,14968,4153,forward
16747509,16765004,15667,17717,29768,23144,17265,9438,forward
85264,9921,18845,32554,8886,12355,15382,9047,forward
83302,16753287,23392,16751109,10849,25087,7768,4919,forward
108471,8602,16777172,3255,791,866,462,603,forward
649094,117522,134407,79725,93161,16766091,12088,11629,forward
42580,19668,4644,3644,6165,2823,3315,633,forward
948571,106205,32495,16767250,85741,84244,22815,18467,forward
423841,1139017,410570,175347,214624,41008,66042,16746638,forward
91607,16757948,18101,2204,15056,8619,22497,10511,forward
878430,492427,193596,39244,68604,146627,21899,4140,forward
118990,159016,16762553,27409,5768,12979,18723,3587,forward
150417,16772016,29711,16745724,19643,22983,9929,10966,forward
16756369,74729,25353,14043,45376,16761372,14881,26757,forward
72896,22160,3702,1972,1482,4073,4539,2961,forward
1550016,272278,16770566,16762228,16757859,16745147,20313,5908,forward
764456,58773,31059,7891,10344,9259,9298,5514,forward
524894,345653,16761490,66456,16754261,21465,19765,14877,forward
905189,129105,16749527,16744577,16765821,16746928,8121,3782,forward
1010815,50333,21618,27276,17620,18768,7697,4100,forward
327160,95510,28075,11951,15905,18541,15535,11911,forward
1865935,221726,19391,16753475,16877,24489,32231,13819,forward
456990,16751851,7383,9469,6252,16746244,16635,7216,forward
469253,15712,21735,30936,17581,11605,7504,1515,forward
24855,19246,13411,27783,18671,18062,17383,3883,forward
100040,81541,12440,16751388,8225,14567,18450,5301,forward
365719,120925,85038,8048,22111,26443,20295,4678,forward
1403740,118214,20206,22296,27105,16744666,23627,22136,forward
748898,32154,5863,21693,10436,25046,14989,5963,forward
989385,1230839,16761759,159684,87755,16755481,16750861,10623,forward
41337,76892,13636,17184,22805,17530,16053,3910,forward
71573,92583,16515,16756220,16748648,16746096,22763,7455,forward
2165725,538516,353572,56939,92391,16775668,16760450,13475,forward
109867,22804,8451,4446,3635,1687,2815,667,forward
1673559,16765906,14969,6245,12652,7671,2329,1828,forward
651203,154121,14119,16748839,17811,19905,4696,5694,forward
2280138,415459,523456,229752,50789,36766,21956,26010,forward
1221029,16772458,20817,17126,9610,10689,4008,1359,forward
16749766,171246,2535,16983,14251,11235,14312,3984,forward
72320,7068,23744,11044,2982,7480,6258,5323,forward
78523,16908,13171,19341,8749,4214,2401,3258,forward
