delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
322166,220404,108219,339445,16760087,21652,10901,15981,down
563129,21768,16754490,8813,12246,10703,9337,1595,down
124617,16769282,31018,11993,10371,4641,1097,489,down
16750177,16752873,16215,10364,8048,10185,3147,2086,down
457647,85342,5115,21397,6116,16555,12852,2459,down
16769732,82174,15614,9399,15718,4139,4530,1484,down
32010,16773467,22915,16100,17020,12344,8748,4225,down
16748927,16773334,14132,25668,15273,12911,3941,9401,down
27576,19362,18096,2156,5825,3678,1070,491,down
73369,14984,12176,4965,4637,6558,7208,3423,down
70978,12424,1329,3209,5040,4612,3703,1462,down
16769569,20446,3055,3675,5526,15643,2119,1360,down
16771827,16754405,2496,8830,3914,5150,2245,2496,down
288802,16776508,16744740,12985,19548,5246,6125,1916,down
142381,185677,140043,106906,16745246,14950,10368,8279,down
103155,415865,379194,166862,16760690,93869,83355,16839,down
678858,16746741,4653,9010,8878,19477,9384,2015,down
54721,102631,16756519,26264,16746513,46256,29238,7615,down
37125,16746117,8890,9676,5461,4275,900,1481,down
16769757,18096,19513,3584,6010,5718,1918,1131,down
16766291,17375,4813,19344,7578,5290,2983,473,down
16755063,23738,1169,3287,2863,3355,238,139,down
97600,16746456,6049,6717,5924,2728,4023,1684,down
20692,8058,20157,19052,6230,6469,1152,1565,down
176097,60043,11042,8090,19214,16873,9527,5330,down
15952,24509,11659,4976,7322,10254,4238,3915,down
16747285,16751924,6295,11311,11721,3881,3388,3097,down
16745090,20130,7429,8891,20238,9809,2894,4100,down
15890,30913,14641,3522,13318,3704,7517,2130,down
34290,31508,18357,14094,16740,10337,4246,3139,down
520912,7354,10493,5984,4686,16913,12720,5396,down
1210718,124457,16744689,20956,7719,23428,14207,5068,down
16751921,28026,9855,8484,15050,5657,3457,1345,down
220659,35815,71763,23292,7361,11241,6031,8121,down
16748340,21350,18535,11472,10660,11397,2775,1390,down
465981,357676,82189,96040,16749093,23045,7167,5203,down
112124,189788,35803,16747477,11939,21850,21552,9865,down
96239,10996,8226,4029,2490,1904,1178,634,down
16754469,25877,17136,16746733,11574,7037,1709,746,down
16759810,16776026,2900,19748,13536,13299,1705,2243,down
16750661,11975,2718,16744528,12060,4018,4271,1984,down
18818,29716,9810,7311,12793,10716,3086,1272,down
13730,27351,3288,8651,5262,6721,2153,2022,down
16745650,30859,12574,10819,3946,9377,4090,1543,down
61186,151340,29809,11486,12366,5161,6293,1357,down
34834,16756919,22936,14099,11053,16520,4157,1657,down
16764241,16755550,16744778,6517,4641,8532,4136,1754,down
16770415,19689,20955,10441,5460,13813,4304,4617,down
31331,10060,24389,11241,6415,11020,7026,1797,down
16776112,22166,17281,6809,20834,10885,6834,3878,down
125359,16754801,12609,2610,4832,3997,1016,609,down
195348,17960,2847,7818,1908,2228,616,405,down
36384,16749815,13104,22195,4848,10473,3765,3539,down
79785,26468,4021,8468,1552,7641,5209,2450,down
16745803,31452,3950,24333,10482,9847,4019,939,down
206215,214351,26582,12130,10126,6804,6496,1703,down
93229,73471,12654,7028,6082,7489,7019,2455,down
16760278,9723,16744936,7246,10105,9265,1884,937,down
23216,76346,16745177,27869,6618,2451,2312,1383,down
16759232,19091,16753915,16765507,17015,6838,2228,1400,down
16773649,18333,17110,23085,9633,2856,2538,1222,down
11564,6721,16746101,7245,4888,8397,2162,1219,down
16768985,19932,10102,16833,6093,7863,2974,1404,down
24083,13981,4389,23414,11448,7940,3687,2382,down
29169,3130,2227,16745567,12408,10339,2394,2200,down
26900,12674,16456,17434,10087,7952,1467,957,down
16774022,79121,28999,16271,5433,5324,2330,5242,down
16752164,16747,26755,14031,3741,8314,2071,492,down
16752328,18662,14028,21083,9932,14997,2097,1811,down
281773,212381,19758,14758,15757,12373,9018,3096,down
134688,29556,12673,14826,11456,18003,11951,3434,down
16753401,13998,3880,14585,12551,16748101,8969,9533,down
20399,91872,9558,11842,11142,6270,5822,2188,down
14804,11177,7096,32273,4795,10756,1524,1356,down
24624,11386,4663,15677,7531,10835,1783,2492,down
12038,18324,30664,13316,6552,6889,1702,603,down
15433,30516,16172,20510,8734,4545,2169,2536,down
23672,12150,30213,15331,16789,11471,1608,985,down
16745887,16760346,4413,6558,4654,7679,2006,1464,down
78582,16863,8640,7570,7738,5941,3904,1203,down
5954,28669,3329,3687,3633,6336,2939,1114,down
11489,9328,9591,9182,4327,4634,1449,2767,down
19916,22742,15866,13047,21759,9474,5212,1499,down
16756863,19693,4611,5998,3122,5816,978,1235,down
14452,21014,16745442,5301,5623,8777,4900,9443,down
16760313,18186,16750489,14640,15206,4499,14234,9364,down
67499,16745683,303,8361,1075,7868,1472,2377,down
47520,16745902,9950,1955,701,2131,2136,884,down
124908,11369,6189,18068,5775,6144,683,245,down
82475,3424,24708,10768,13781,8518,4267,568,down
16774532,16756506,23551,13755,14594,8270,1837,2054,down
17974,16525,72722,2706,17458,6263,4391,2242,down
57626,9549,25753,7533,7007,11889,1154,1478,down
105588,16770851,16752044,16753223,6752,11976,3366,1483,down
49945,16746818,16755284,21291,15715,7646,4453,1252,down
16762421,26681,16750202,15685,3825,6126,3196,686,down
16746416,28332,11509,13914,10143,2663,3074,1125,down
81007,16760782,6170,10042,10209,9391,2557,1812,down
28261,29338,2723,12819,12677,8988,2569,877,down
32560,24844,7754,16754121,6692,5109,2571,719,down
29243,22197,1946,22726,3626,6521,943,846,down
16767336,8192,4693,20001,6691,5920,2604,900,down
14436,27094,5521,24776,1193,5086,2371,1727,down
24860,7503,7543,19455,5253,14745,2068,2121,down
16759458,8680,18803,16752164,2597,4511,1286,1755,down
21337,7995,12216,18971,6303,8778,2244,2342,down
55287,30203,21273,8238,4941,4512,2580,1199,down
16776142,16744665,16744526,24344,5457,4634,2269,1589,down
926367,72935,16758286,4768,9605,5361,4906,7419,down
254636,182078,137735,79134,16747223,16758544,16765086,13560,down
244082,12795,4021,12898,7164,30000,13497,3699,down
491104,15340,16762854,16749984,9114,5187,4165,14100,down
30749,16756500,10314,16359,13822,8744,1944,3472,down
11244,18696,5801,24555,7145,4255,2918,2200,down
16765297,16129,5994,2583,4704,5734,1239,1064,down
28267,10762,15794,13886,9240,4952,2744,2949,down
17772,16744911,1735,18166,8999,4403,1284,985,down
31804,16757462,6310,6841,3053,6053,863,3121,down
16753451,16749582,2200,13543,7641,2812,3711,1172,down
69225,6904,28014,26972,13172,6891,2210,1839,down
134609,22819,16748667,17333,6624,7197,2448,399,down
30423,19281,7263,6429,8746,4652,4891,458,down
25085,22366,12496,16158,2116,5896,1803,869,down
16757048,26800,11567,15027,5839,5170,4159,1022,down
87906,11606,5924,20114,7252,3312,1096,1990,down
16759958,16757823,12352,9507,4543,11253,2020,1214,down
18990,7370,16747311,7231,8629,14229,2397,656,down
86709,16749931,16727,3972,6717,3981,4669,2854,down
20445,28963,3171,11351,4811,6097,5576,2679,down
21480,9153,16192,17217,6348,3740,4547,663,down
27969,16745726,8683,8038,6303,5961,3752,1568,down
74652,22734,15459,931,5991,9334,2273,817,down
16773412,15175,11924,32357,10269,9319,2811,2145,down
137734,16376,10858,8616,5919,5166,2687,140,down
16755374,23255,2015,6263,4237,7646,1958,1248,down
16752984,19862,26627,3015,7480,7425,2397,872,down
16766274,20227,10001,17606,9822,9693,1874,1088,down
24910,13918,4643,7963,8796,5662,1294,3122,down
16773875,29551,13232,16745630,6744,9651,891,797,down
16758580,16037,11602,16568,8887,9006,1636,677,down
16764638,13457,10290,16748747,8107,8240,2551,711,down
25489,17037,24525,18234,7384,4130,1801,1306,down
74493,22774,29001,25084,5479,5094,3781,1461,down
42140,26188,4734,10371,3735,6614,5146,2106,down
80920,24921,2453,11628,8399,9495,2615,2422,down
39150,17934,11843,7097,6138,14868,3522,714,down
81497,16775496,9422,5695,11571,9403,3366,2645,down
39523,48328,1190,5437,4488,2834,915,459,down
