timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
1.54E+12,0,100,2.20E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-116,-2.55E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-100,-2.20E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-106,-2.33E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,105,2.31E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,48,1.05E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,16,3.52E-06,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,7,1.54E-06,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-262,-5.76E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-285,-6.26E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-307,-6.75E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-279,-6.13E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-260,-5.71E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-274,-6.02E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,12,2.64E-06,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,84,1.85E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,125,2.75E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-103,-2.26E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-46,-1.01E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,264,5.80E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,263,5.78E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-40,-8.79E-06,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-71,-1.56E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-75,-1.65E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-69,-1.52E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-58,-1.27E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-76,-1.67E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,104,2.29E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,25,5.49E-06,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-260,-5.71E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,23,5.05E-06,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,85,1.87E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,123,2.70E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,100,2.20E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,65,1.43E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,67,1.47E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,107,2.35E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
1.54E+12,0,-121,-2.66E-05,27,40,70,145669,280961,33426,16750832,25350,12137,11798,4800,down
