timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1544369936468,0,7,1.5380859375E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936478,0,20,4.39453125E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936478,0,26,5.712890625E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936479,0,1,2.197265625E-7,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936479,0,-283,-6.218261718750001E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936479,0,-265,-5.82275390625E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936479,0,8,1.7578125E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936479,0,4,8.7890625E-7,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936479,0,10,2.197265625E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936479,0,25,5.4931640625E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936480,0,27,5.9326171875000005E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936480,0,29,6.3720703125E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936480,0,53,1.1645507812500002E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936480,0,76,1.669921875E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936480,0,85,1.86767578125E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936480,0,85,1.86767578125E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936480,0,72,1.58203125E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936481,0,64,1.40625E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936481,0,85,1.86767578125E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936481,0,116,2.548828125E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936481,0,118,2.5927734375E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936481,0,108,2.3730468750000002E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936481,0,125,2.74658203125E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936481,0,-121,-2.6586914062500003E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936482,0,-124,-2.724609375E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936482,0,-107,-2.35107421875E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936482,0,-91,-1.99951171875E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936482,0,-100,-2.197265625E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936482,0,-92,-2.021484375E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936482,0,-63,-1.38427734375E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936483,0,-51,-1.1206054687499999E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936483,0,-44,-9.66796875E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936483,0,-27,-5.9326171875000005E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936483,0,-28,-6.15234375E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936484,0,-55,-1.20849609375E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936484,0,-61,-1.34033203125E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936484,0,-45,-9.8876953125E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936484,0,-46,-1.0107421875E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936484,0,-46,-1.0107421875E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936485,0,-16,-3.515625E-6,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936485,0,266,5.8447265625E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936485,0,272,5.9765625000000004E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936485,0,265,5.82275390625E-5,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936485,0,-3,-6.591796875E-7,38,47,40,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936486,0,-22,-4.833984375E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936486,0,-28,-6.15234375E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936495,0,-11,-2.4169921875E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936495,0,-5,-1.0986328125E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
1544369936496,0,-15,-3.2958984375E-6,38,47,36,20731,17951,5534,30346,12011,6195,2643,3327,Tag0,unknown
