timestampMs,eegRawValue,eegRawValueVolts,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
1.54E+12,81,1.78E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,84,1.85E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,81,1.78E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,65,1.43E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,49,1.08E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,43,9.45E-06,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,49,1.08E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,52,1.14E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,53,1.16E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,54,1.19E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,66,1.45E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,82,1.80E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,99,2.18E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,116,2.55E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,119,2.61E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,114,2.50E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,103,2.26E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,97,2.13E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,96,2.11E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,88,1.93E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,72,1.58E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,53,1.16E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,44,9.67E-06,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,48,1.05E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,43,9.45E-06,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,34,7.47E-06,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,24,5.27E-06,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,18,3.96E-06,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,9,1.98E-06,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,4,8.79E-07,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,3,6.59E-07,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,3,6.59E-07,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,-260,-5.71E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,-265,-5.82E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,-258,-5.67E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,20,4.39E-06,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,50,1.10E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,72,1.58E-05,16749917,22947,9071,16650,4599,9482,2292,1858,run
1.54E+12,70,1.54E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,55,1.21E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,43,9.45E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,50,1.10E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,66,1.45E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,87,1.91E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,106,2.33E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,99,2.18E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,70,1.54E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,44,9.67E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,28,6.15E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,28,6.15E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,41,9.01E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,60,1.32E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,64,1.41E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,56,1.23E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,64,1.41E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,64,1.41E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,52,1.14E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,50,1.10E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,49,1.08E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,44,9.67E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,43,9.45E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,43,9.45E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,26,5.71E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,7,1.54E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,16,3.52E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,28,6.15E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,36,7.91E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,38,8.35E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,38,8.35E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,41,9.01E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,56,1.23E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,70,1.54E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,72,1.58E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,69,1.52E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,66,1.45E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,59,1.30E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,45,9.89E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,38,8.35E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,35,7.69E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,29,6.37E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,39,8.57E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,64,1.41E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,82,1.80E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,93,2.04E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,101,2.22E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,92,2.02E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,82,1.80E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,86,1.89E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,97,2.13E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,88,1.93E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,75,1.65E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,72,1.58E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,71,1.56E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,58,1.27E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,36,7.91E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,11,2.42E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,-260,-5.71E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,-268,-5.89E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,-268,-5.89E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,-267,-5.87E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,-273,-6.00E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,-282,-6.20E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,-286,-6.28E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,-279,-6.13E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,-260,-5.71E-05,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,8,1.76E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,18,3.96E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,25,5.49E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
1.54E+12,37,8.13E-06,12802,16748815,7928,16767735,10376,17329,3174,4466,run
