eegRawValue,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
17,0,1,0,0,0,0,1,1,rest
107,0,1,0,0,0,0,1,1,rest
104,0,1,0,0,0,0,1,1,rest
130,0,1,0,0,0,0,1,1,rest
76,0,1,0,0,0,0,1,1,rest
100,211114,18347,8722,9813,7158,1519,2712,1990,rest
28,211114,18347,8722,9813,7158,1519,2712,1990,rest
32,211114,18347,8722,9813,7158,1519,2712,1990,rest
-50,211114,18347,8722,9813,7158,1519,2712,1990,rest
-23,211114,18347,8722,9813,7158,1519,2712,1990,rest
16,211114,18347,8722,9813,7158,1519,2712,1990,rest
-124,211114,18347,8722,9813,7158,1519,2712,1990,rest
-68,211114,18347,8722,9813,7158,1519,2712,1990,rest
16,211114,18347,8722,9813,7158,1519,2712,1990,rest
168,211114,18347,8722,9813,7158,1519,2712,1990,rest
353,246191,40256,10874,14379,5252,9661,2113,5377,rest
226,246191,40256,10874,14379,5252,9661,2113,5377,rest
42,246191,40256,10874,14379,5252,9661,2113,5377,rest
76,246191,40256,10874,14379,5252,9661,2113,5377,rest
101,246191,40256,10874,14379,5252,9661,2113,5377,rest
-17,246191,40256,10874,14379,5252,9661,2113,5377,rest
35,246191,40256,10874,14379,5252,9661,2113,5377,rest
18,246191,40256,10874,14379,5252,9661,2113,5377,rest
54,246191,40256,10874,14379,5252,9661,2113,5377,rest
75,246191,40256,10874,14379,5252,9661,2113,5377,rest
20,529065,19046,18558,4086,12012,16595,5230,2772,rest
40,529065,19046,18558,4086,12012,16595,5230,2772,rest
108,529065,19046,18558,4086,12012,16595,5230,2772,rest
96,529065,19046,18558,4086,12012,16595,5230,2772,rest
41,529065,19046,18558,4086,12012,16595,5230,2772,rest
101,529065,19046,18558,4086,12012,16595,5230,2772,rest
-22,529065,19046,18558,4086,12012,16595,5230,2772,rest
16,529065,19046,18558,4086,12012,16595,5230,2772,rest
76,529065,19046,18558,4086,12012,16595,5230,2772,rest
73,134409,43297,6968,18561,13072,33765,8370,3995,rest
22,134409,43297,6968,18561,13072,33765,8370,3995,rest
64,134409,43297,6968,18561,13072,33765,8370,3995,rest
77,134409,43297,6968,18561,13072,33765,8370,3995,rest
59,134409,43297,6968,18561,13072,33765,8370,3995,rest
-12,134409,43297,6968,18561,13072,33765,8370,3995,rest
-5,134409,43297,6968,18561,13072,33765,8370,3995,rest
-21,134409,43297,6968,18561,13072,33765,8370,3995,rest
-33,134409,43297,6968,18561,13072,33765,8370,3995,rest
44,134409,43297,6968,18561,13072,33765,8370,3995,rest
57,134409,43297,6968,18561,13072,33765,8370,3995,rest
121,26107,25273,12666,20696,12974,11070,6483,1909,rest
99,26107,25273,12666,20696,12974,11070,6483,1909,rest
5,26107,25273,12666,20696,12974,11070,6483,1909,rest
109,26107,25273,12666,20696,12974,11070,6483,1909,rest
75,26107,25273,12666,20696,12974,11070,6483,1909,rest
