eegRawValue,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
75,0,0,0,0,0,0,0,0,rest
109,0,0,0,0,0,0,0,0,rest
41,0,0,0,0,0,0,0,0,rest
52,0,0,0,0,0,0,0,0,rest
59,0,0,0,0,0,0,0,0,rest
60,0,0,0,0,0,0,0,0,rest
-17,0,0,0,0,0,0,0,0,rest
57,579186,454616,205051,88191,41675,13607,16373,21395,rest
71,579186,454616,205051,88191,41675,13607,16373,21395,rest
64,579186,454616,205051,88191,41675,13607,16373,21395,rest
84,579186,454616,205051,88191,41675,13607,16373,21395,rest
6,579186,454616,205051,88191,41675,13607,16373,21395,rest
39,579186,454616,205051,88191,41675,13607,16373,21395,rest
274,579186,454616,205051,88191,41675,13607,16373,21395,rest
224,579186,454616,205051,88191,41675,13607,16373,21395,rest
66,46989,47073,25994,11357,14853,9964,9764,6338,rest
134,46989,47073,25994,11357,14853,9964,9764,6338,rest
42,46989,47073,25994,11357,14853,9964,9764,6338,rest
64,46989,47073,25994,11357,14853,9964,9764,6338,rest
58,46989,47073,25994,11357,14853,9964,9764,6338,rest
72,46989,47073,25994,11357,14853,9964,9764,6338,rest
117,46989,47073,25994,11357,14853,9964,9764,6338,rest
19,46989,47073,25994,11357,14853,9964,9764,6338,rest
32,46989,47073,25994,11357,14853,9964,9764,6338,rest
16,46989,47073,25994,11357,14853,9964,9764,6338,rest
5,46989,47073,25994,11357,14853,9964,9764,6338,rest
150,191235,52169,48261,22502,35141,15003,7035,10299,rest
-12,191235,52169,48261,22502,35141,15003,7035,10299,rest
-23,191235,52169,48261,22502,35141,15003,7035,10299,rest
-8,191235,52169,48261,22502,35141,15003,7035,10299,rest
37,191235,52169,48261,22502,35141,15003,7035,10299,rest
37,191235,52169,48261,22502,35141,15003,7035,10299,rest
141,191235,52169,48261,22502,35141,15003,7035,10299,rest
-45,191235,52169,48261,22502,35141,15003,7035,10299,rest
-20,191235,52169,48261,22502,35141,15003,7035,10299,rest
152,431023,45018,50764,3047,24290,15486,15360,6970,rest
128,431023,45018,50764,3047,24290,15486,15360,6970,rest
70,431023,45018,50764,3047,24290,15486,15360,6970,rest
69,431023,45018,50764,3047,24290,15486,15360,6970,rest
112,431023,45018,50764,3047,24290,15486,15360,6970,rest
28,431023,45018,50764,3047,24290,15486,15360,6970,rest
48,431023,45018,50764,3047,24290,15486,15360,6970,rest
84,431023,45018,50764,3047,24290,15486,15360,6970,rest
49,431023,45018,50764,3047,24290,15486,15360,6970,rest
-71,431023,45018,50764,3047,24290,15486,15360,6970,rest
37,431023,45018,50764,3047,24290,15486,15360,6970,rest
32,328383,41642,21625,20129,15310,16471,19475,8076,rest
