eegRawValue,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
21,898360,336727,129082,95088,67982,17830,22868,25037,forward
113,898360,336727,129082,95088,67982,17830,22868,25037,forward
36,898360,336727,129082,95088,67982,17830,22868,25037,forward
7,898360,336727,129082,95088,67982,17830,22868,25037,forward
26,898360,336727,129082,95088,67982,17830,22868,25037,forward
18,898360,336727,129082,95088,67982,17830,22868,25037,forward
153,898360,336727,129082,95088,67982,17830,22868,25037,forward
-106,898360,336727,129082,95088,67982,17830,22868,25037,forward
326,247665,169267,31405,38241,29409,20964,14993,5028,forward
242,247665,169267,31405,38241,29409,20964,14993,5028,forward
50,247665,169267,31405,38241,29409,20964,14993,5028,forward
37,247665,169267,31405,38241,29409,20964,14993,5028,forward
99,247665,169267,31405,38241,29409,20964,14993,5028,forward
35,247665,169267,31405,38241,29409,20964,14993,5028,forward
36,247665,169267,31405,38241,29409,20964,14993,5028,forward
-6,247665,169267,31405,38241,29409,20964,14993,5028,forward
91,247665,169267,31405,38241,29409,20964,14993,5028,forward
72,247665,169267,31405,38241,29409,20964,14993,5028,forward
24,247665,169267,31405,38241,29409,20964,14993,5028,forward
65,828232,75678,6403,7799,17658,5191,9830,5622,forward
88,828232,75678,6403,7799,17658,5191,9830,5622,forward
42,828232,75678,6403,7799,17658,5191,9830,5622,forward
21,828232,75678,6403,7799,17658,5191,9830,5622,forward
67,828232,75678,6403,7799,17658,5191,9830,5622,forward
75,828232,75678,6403,7799,17658,5191,9830,5622,forward
36,828232,75678,6403,7799,17658,5191,9830,5622,forward
24,828232,75678,6403,7799,17658,5191,9830,5622,forward
9,828232,75678,6403,7799,17658,5191,9830,5622,forward
27,105785,13238,10780,14904,8339,6451,6883,6624,forward
55,105785,13238,10780,14904,8339,6451,6883,6624,forward
57,105785,13238,10780,14904,8339,6451,6883,6624,forward
-43,105785,13238,10780,14904,8339,6451,6883,6624,forward
65,105785,13238,10780,14904,8339,6451,6883,6624,forward
18,105785,13238,10780,14904,8339,6451,6883,6624,forward
77,105785,13238,10780,14904,8339,6451,6883,6624,forward
27,105785,13238,10780,14904,8339,6451,6883,6624,forward
55,105785,13238,10780,14904,8339,6451,6883,6624,forward
92,26293,71806,9620,7304,9907,16868,4785,3554,forward
54,26293,71806,9620,7304,9907,16868,4785,3554,forward
39,26293,71806,9620,7304,9907,16868,4785,3554,forward
52,26293,71806,9620,7304,9907,16868,4785,3554,forward
136,26293,71806,9620,7304,9907,16868,4785,3554,forward
86,26293,71806,9620,7304,9907,16868,4785,3554,forward
-8,26293,71806,9620,7304,9907,16868,4785,3554,forward
4,26293,71806,9620,7304,9907,16868,4785,3554,forward
0,26293,71806,9620,7304,9907,16868,4785,3554,forward
12,26293,71806,9620,7304,9907,16868,4785,3554,forward
91,26293,71806,9620,7304,9907,16868,4785,3554,forward
35,49342,21232,3473,10470,7754,5659,3289,3293,forward
40,49342,21232,3473,10470,7754,5659,3289,3293,forward
29,49342,21232,3473,10470,7754,5659,3289,3293,forward
29,49342,21232,3473,10470,7754,5659,3289,3293,forward
101,49342,21232,3473,10470,7754,5659,3289,3293,forward
32,49342,21232,3473,10470,7754,5659,3289,3293,forward
66,49342,21232,3473,10470,7754,5659,3289,3293,forward
41,49342,21232,3473,10470,7754,5659,3289,3293,forward
28,49342,21232,3473,10470,7754,5659,3289,3293,forward
48,17368,27700,8061,6170,5385,7546,3795,867,forward
60,17368,27700,8061,6170,5385,7546,3795,867,forward
12,17368,27700,8061,6170,5385,7546,3795,867,forward
65,17368,27700,8061,6170,5385,7546,3795,867,forward
-18,17368,27700,8061,6170,5385,7546,3795,867,forward
19,17368,27700,8061,6170,5385,7546,3795,867,forward
55,17368,27700,8061,6170,5385,7546,3795,867,forward
72,17368,27700,8061,6170,5385,7546,3795,867,forward
16,17368,27700,8061,6170,5385,7546,3795,867,forward
85,17368,27700,8061,6170,5385,7546,3795,867,forward
68,17368,27700,8061,6170,5385,7546,3795,867,forward
10,82215,7239,4805,4465,9053,9888,4213,1378,forward
93,82215,7239,4805,4465,9053,9888,4213,1378,forward
67,82215,7239,4805,4465,9053,9888,4213,1378,forward
58,82215,7239,4805,4465,9053,9888,4213,1378,forward
55,82215,7239,4805,4465,9053,9888,4213,1378,forward
11,82215,7239,4805,4465,9053,9888,4213,1378,forward
115,82215,7239,4805,4465,9053,9888,4213,1378,forward
40,82215,7239,4805,4465,9053,9888,4213,1378,forward
57,82215,7239,4805,4465,9053,9888,4213,1378,forward
-8,45415,25065,4270,17361,12996,7035,3564,1585,forward
27,45415,25065,4270,17361,12996,7035,3564,1585,forward
71,45415,25065,4270,17361,12996,7035,3564,1585,forward
-6,45415,25065,4270,17361,12996,7035,3564,1585,forward
75,45415,25065,4270,17361,12996,7035,3564,1585,forward
97,45415,25065,4270,17361,12996,7035,3564,1585,forward
64,45415,25065,4270,17361,12996,7035,3564,1585,forward
8,45415,25065,4270,17361,12996,7035,3564,1585,forward
76,45415,25065,4270,17361,12996,7035,3564,1585,forward
9,45415,25065,4270,17361,12996,7035,3564,1585,forward
59,92335,11841,1604,2371,10026,13758,2916,1713,forward
7,92335,11841,1604,2371,10026,13758,2916,1713,forward
23,92335,11841,1604,2371,10026,13758,2916,1713,forward
43,92335,11841,1604,2371,10026,13758,2916,1713,forward
60,92335,11841,1604,2371,10026,13758,2916,1713,forward
26,92335,11841,1604,2371,10026,13758,2916,1713,forward
84,92335,11841,1604,2371,10026,13758,2916,1713,forward
-5,92335,11841,1604,2371,10026,13758,2916,1713,forward
33,92335,11841,1604,2371,10026,13758,2916,1713,forward
51,33567,10852,21447,17430,6383,10897,3708,4845,forward
44,33567,10852,21447,17430,6383,10897,3708,4845,forward
44,33567,10852,21447,17430,6383,10897,3708,4845,forward
4,33567,10852,21447,17430,6383,10897,3708,4845,forward
-25,33567,10852,21447,17430,6383,10897,3708,4845,forward
85,33567,10852,21447,17430,6383,10897,3708,4845,forward
173,33567,10852,21447,17430,6383,10897,3708,4845,forward
41,33567,10852,21447,17430,6383,10897,3708,4845,forward
72,33567,10852,21447,17430,6383,10897,3708,4845,forward
36,33567,10852,21447,17430,6383,10897,3708,4845,forward
56,33567,10852,21447,17430,6383,10897,3708,4845,forward
44,291836,95455,15988,27739,9631,27071,28320,7520,forward
32,291836,95455,15988,27739,9631,27071,28320,7520,forward
75,291836,95455,15988,27739,9631,27071,28320,7520,forward
64,291836,95455,15988,27739,9631,27071,28320,7520,forward
20,291836,95455,15988,27739,9631,27071,28320,7520,forward
73,291836,95455,15988,27739,9631,27071,28320,7520,forward
92,291836,95455,15988,27739,9631,27071,28320,7520,forward
10,291836,95455,15988,27739,9631,27071,28320,7520,forward
55,57303,29593,5091,15148,3015,9227,7818,4733,forward
76,57303,29593,5091,15148,3015,9227,7818,4733,forward
20,57303,29593,5091,15148,3015,9227,7818,4733,forward
60,57303,29593,5091,15148,3015,9227,7818,4733,forward
50,57303,29593,5091,15148,3015,9227,7818,4733,forward
24,57303,29593,5091,15148,3015,9227,7818,4733,forward
35,57303,29593,5091,15148,3015,9227,7818,4733,forward
39,57303,29593,5091,15148,3015,9227,7818,4733,forward
22,57303,29593,5091,15148,3015,9227,7818,4733,forward
42,57303,29593,5091,15148,3015,9227,7818,4733,forward
24,57303,29593,5091,15148,3015,9227,7818,4733,forward
10,57303,29593,5091,15148,3015,9227,7818,4733,forward
65,5780,15233,9884,6258,3470,7567,6430,5090,forward
27,5780,15233,9884,6258,3470,7567,6430,5090,forward
93,5780,15233,9884,6258,3470,7567,6430,5090,forward
104,5780,15233,9884,6258,3470,7567,6430,5090,forward
27,5780,15233,9884,6258,3470,7567,6430,5090,forward
5,5780,15233,9884,6258,3470,7567,6430,5090,forward
26,5780,15233,9884,6258,3470,7567,6430,5090,forward
84,5780,15233,9884,6258,3470,7567,6430,5090,forward
19,5780,15233,9884,6258,3470,7567,6430,5090,forward
42,35211,18364,3735,15108,13354,10880,7321,3195,forward
120,35211,18364,3735,15108,13354,10880,7321,3195,forward
3,35211,18364,3735,15108,13354,10880,7321,3195,forward
25,35211,18364,3735,15108,13354,10880,7321,3195,forward
36,35211,18364,3735,15108,13354,10880,7321,3195,forward
-23,35211,18364,3735,15108,13354,10880,7321,3195,forward
9,35211,18364,3735,15108,13354,10880,7321,3195,forward
87,35211,18364,3735,15108,13354,10880,7321,3195,forward
93,35211,18364,3735,15108,13354,10880,7321,3195,forward
90,35211,18364,3735,15108,13354,10880,7321,3195,forward
90,104175,28892,7237,9195,7259,15444,9486,4436,forward
35,104175,28892,7237,9195,7259,15444,9486,4436,forward
20,104175,28892,7237,9195,7259,15444,9486,4436,forward
11,104175,28892,7237,9195,7259,15444,9486,4436,forward
73,104175,28892,7237,9195,7259,15444,9486,4436,forward
71,104175,28892,7237,9195,7259,15444,9486,4436,forward
32,104175,28892,7237,9195,7259,15444,9486,4436,forward
26,104175,28892,7237,9195,7259,15444,9486,4436,forward
36,129490,35562,14189,3594,8627,19583,10788,7915,forward
70,129490,35562,14189,3594,8627,19583,10788,7915,forward
65,129490,35562,14189,3594,8627,19583,10788,7915,forward
18,129490,35562,14189,3594,8627,19583,10788,7915,forward
52,129490,35562,14189,3594,8627,19583,10788,7915,forward
36,129490,35562,14189,3594,8627,19583,10788,7915,forward
32,129490,35562,14189,3594,8627,19583,10788,7915,forward
29,129490,35562,14189,3594,8627,19583,10788,7915,forward
89,129490,35562,14189,3594,8627,19583,10788,7915,forward
42,129490,35562,14189,3594,8627,19583,10788,7915,forward
