eegRawValue,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
103,159866,40334,2967,4513,4178,3820,732,867,rest
138,159866,40334,2967,4513,4178,3820,732,867,rest
1,159866,40334,2967,4513,4178,3820,732,867,rest
83,159866,40334,2967,4513,4178,3820,732,867,rest
52,159866,40334,2967,4513,4178,3820,732,867,rest
145,159866,40334,2967,4513,4178,3820,732,867,rest
41,159866,40334,2967,4513,4178,3820,732,867,rest
420,159866,40334,2967,4513,4178,3820,732,867,rest
-46,159866,40334,2967,4513,4178,3820,732,867,rest
-74,159866,40334,2967,4513,4178,3820,732,867,rest
-109,159866,40334,2967,4513,4178,3820,732,867,rest
52,315359,102040,54017,9072,11848,13410,11146,3611,rest
65,315359,102040,54017,9072,11848,13410,11146,3611,rest
66,315359,102040,54017,9072,11848,13410,11146,3611,rest
16,315359,102040,54017,9072,11848,13410,11146,3611,rest
-26,315359,102040,54017,9072,11848,13410,11146,3611,rest
-25,315359,102040,54017,9072,11848,13410,11146,3611,rest
61,315359,102040,54017,9072,11848,13410,11146,3611,rest
-4,315359,102040,54017,9072,11848,13410,11146,3611,rest
-60,315359,102040,54017,9072,11848,13410,11146,3611,rest
186,753085,38313,5919,3089,9894,4151,5631,2466,rest
81,753085,38313,5919,3089,9894,4151,5631,2466,rest
103,753085,38313,5919,3089,9894,4151,5631,2466,rest
105,753085,38313,5919,3089,9894,4151,5631,2466,rest
147,753085,38313,5919,3089,9894,4151,5631,2466,rest
-53,753085,38313,5919,3089,9894,4151,5631,2466,rest
39,753085,38313,5919,3089,9894,4151,5631,2466,rest
18,753085,38313,5919,3089,9894,4151,5631,2466,rest
23,753085,38313,5919,3089,9894,4151,5631,2466,rest
52,753085,38313,5919,3089,9894,4151,5631,2466,rest
53,71951,7126,11964,5390,3290,4962,910,436,rest
49,71951,7126,11964,5390,3290,4962,910,436,rest
9,71951,7126,11964,5390,3290,4962,910,436,rest
34,71951,7126,11964,5390,3290,4962,910,436,rest
114,71951,7126,11964,5390,3290,4962,910,436,rest
68,71951,7126,11964,5390,3290,4962,910,436,rest
113,71951,7126,11964,5390,3290,4962,910,436,rest
53,71951,7126,11964,5390,3290,4962,910,436,rest
39,71951,7126,11964,5390,3290,4962,910,436,rest
48,32711,23839,16700,23038,5902,14307,4799,2109,rest
88,32711,23839,16700,23038,5902,14307,4799,2109,rest
71,32711,23839,16700,23038,5902,14307,4799,2109,rest
100,32711,23839,16700,23038,5902,14307,4799,2109,rest
4,32711,23839,16700,23038,5902,14307,4799,2109,rest
-12,32711,23839,16700,23038,5902,14307,4799,2109,rest
-10,32711,23839,16700,23038,5902,14307,4799,2109,rest
6,32711,23839,16700,23038,5902,14307,4799,2109,rest
59,32711,23839,16700,23038,5902,14307,4799,2109,rest
-3,32711,23839,16700,23038,5902,14307,4799,2109,rest
67,11610,16951,31413,97450,3924,5339,3425,3735,rest
27,11610,16951,31413,97450,3924,5339,3425,3735,rest
52,11610,16951,31413,97450,3924,5339,3425,3735,rest
19,11610,16951,31413,97450,3924,5339,3425,3735,rest
21,11610,16951,31413,97450,3924,5339,3425,3735,rest
27,11610,16951,31413,97450,3924,5339,3425,3735,rest
51,11610,16951,31413,97450,3924,5339,3425,3735,rest
22,11610,16951,31413,97450,3924,5339,3425,3735,rest
68,11610,16951,31413,97450,3924,5339,3425,3735,rest
51,11610,16951,31413,97450,3924,5339,3425,3735,rest
45,3647,13463,104990,59584,8548,10995,1285,1019,rest
3,3647,13463,104990,59584,8548,10995,1285,1019,rest
13,3647,13463,104990,59584,8548,10995,1285,1019,rest
-1,3647,13463,104990,59584,8548,10995,1285,1019,rest
53,3647,13463,104990,59584,8548,10995,1285,1019,rest
67,3647,13463,104990,59584,8548,10995,1285,1019,rest
67,3647,13463,104990,59584,8548,10995,1285,1019,rest
-11,3647,13463,104990,59584,8548,10995,1285,1019,rest
85,3647,13463,104990,59584,8548,10995,1285,1019,rest
60,31137,17377,4033,19118,7203,3028,1896,1237,rest
98,31137,17377,4033,19118,7203,3028,1896,1237,rest
35,31137,17377,4033,19118,7203,3028,1896,1237,rest
71,31137,17377,4033,19118,7203,3028,1896,1237,rest
108,31137,17377,4033,19118,7203,3028,1896,1237,rest
44,31137,17377,4033,19118,7203,3028,1896,1237,rest
36,31137,17377,4033,19118,7203,3028,1896,1237,rest
35,31137,17377,4033,19118,7203,3028,1896,1237,rest
34,31137,17377,4033,19118,7203,3028,1896,1237,rest
-12,31137,17377,4033,19118,7203,3028,1896,1237,rest
55,31137,17377,4033,19118,7203,3028,1896,1237,rest
56,22722,38517,20673,74774,8659,7853,966,1560,rest
4,22722,38517,20673,74774,8659,7853,966,1560,rest
-40,22722,38517,20673,74774,8659,7853,966,1560,rest
55,22722,38517,20673,74774,8659,7853,966,1560,rest
20,22722,38517,20673,74774,8659,7853,966,1560,rest
83,22722,38517,20673,74774,8659,7853,966,1560,rest
61,22722,38517,20673,74774,8659,7853,966,1560,rest
-1,22722,38517,20673,74774,8659,7853,966,1560,rest
80,22722,38517,20673,74774,8659,7853,966,1560,rest
2,11063,6975,84577,114568,5411,3917,1395,975,rest
10,11063,6975,84577,114568,5411,3917,1395,975,rest
-35,11063,6975,84577,114568,5411,3917,1395,975,rest
-29,11063,6975,84577,114568,5411,3917,1395,975,rest
69,11063,6975,84577,114568,5411,3917,1395,975,rest
58,11063,6975,84577,114568,5411,3917,1395,975,rest
19,11063,6975,84577,114568,5411,3917,1395,975,rest
-3,11063,6975,84577,114568,5411,3917,1395,975,rest
55,11063,6975,84577,114568,5411,3917,1395,975,rest
52,11063,6975,84577,114568,5411,3917,1395,975,rest
67,11063,6975,84577,114568,5411,3917,1395,975,rest
41,41879,30962,24552,34725,3105,4616,1724,985,rest
68,41879,30962,24552,34725,3105,4616,1724,985,rest
36,41879,30962,24552,34725,3105,4616,1724,985,rest
9,41879,30962,24552,34725,3105,4616,1724,985,rest
19,41879,30962,24552,34725,3105,4616,1724,985,rest
24,41879,30962,24552,34725,3105,4616,1724,985,rest
2,41879,30962,24552,34725,3105,4616,1724,985,rest
8,41879,30962,24552,34725,3105,4616,1724,985,rest
72,4192,5252,25508,12447,8993,5249,1705,1048,rest
107,4192,5252,25508,12447,8993,5249,1705,1048,rest
98,4192,5252,25508,12447,8993,5249,1705,1048,rest
-36,4192,5252,25508,12447,8993,5249,1705,1048,rest
57,4192,5252,25508,12447,8993,5249,1705,1048,rest
9,4192,5252,25508,12447,8993,5249,1705,1048,rest
3,4192,5252,25508,12447,8993,5249,1705,1048,rest
97,4192,5252,25508,12447,8993,5249,1705,1048,rest
129,4192,5252,25508,12447,8993,5249,1705,1048,rest
3,4192,5252,25508,12447,8993,5249,1705,1048,rest
91,255425,269940,26409,17263,15226,8225,1609,2035,rest
35,255425,269940,26409,17263,15226,8225,1609,2035,rest
37,255425,269940,26409,17263,15226,8225,1609,2035,rest
55,255425,269940,26409,17263,15226,8225,1609,2035,rest
24,255425,269940,26409,17263,15226,8225,1609,2035,rest
13,255425,269940,26409,17263,15226,8225,1609,2035,rest
1,255425,269940,26409,17263,15226,8225,1609,2035,rest
51,255425,269940,26409,17263,15226,8225,1609,2035,rest
112,255425,269940,26409,17263,15226,8225,1609,2035,rest
