eegRawValue,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
-83,81507,15763,7769,7138,4091,1999,548,495,rest
64,205700,27713,1240,1331,3147,2003,655,591,rest
32,205700,27713,1240,1331,3147,2003,655,591,rest
53,205700,27713,1240,1331,3147,2003,655,591,rest
29,205700,27713,1240,1331,3147,2003,655,591,rest
11,205700,27713,1240,1331,3147,2003,655,591,rest
-65,205700,27713,1240,1331,3147,2003,655,591,rest
-57,205700,27713,1240,1331,3147,2003,655,591,rest
-49,205700,27713,1240,1331,3147,2003,655,591,rest
58,205700,27713,1240,1331,3147,2003,655,591,rest
53,205700,27713,1240,1331,3147,2003,655,591,rest
34,318233,198481,46593,22185,15214,7638,7510,2150,rest
102,318233,198481,46593,22185,15214,7638,7510,2150,rest
18,318233,198481,46593,22185,15214,7638,7510,2150,rest
-38,318233,198481,46593,22185,15214,7638,7510,2150,rest
23,318233,198481,46593,22185,15214,7638,7510,2150,rest
27,318233,198481,46593,22185,15214,7638,7510,2150,rest
44,318233,198481,46593,22185,15214,7638,7510,2150,rest
114,318233,198481,46593,22185,15214,7638,7510,2150,rest
-52,318233,198481,46593,22185,15214,7638,7510,2150,rest
16,318233,198481,46593,22185,15214,7638,7510,2150,rest
54,318233,198481,46593,22185,15214,7638,7510,2150,rest
50,318233,198481,46593,22185,15214,7638,7510,2150,rest
27,55822,6653,55280,20357,13422,22447,12942,3472,rest
76,55822,6653,55280,20357,13422,22447,12942,3472,rest
25,55822,6653,55280,20357,13422,22447,12942,3472,rest
13,55822,6653,55280,20357,13422,22447,12942,3472,rest
59,55822,6653,55280,20357,13422,22447,12942,3472,rest
81,55822,6653,55280,20357,13422,22447,12942,3472,rest
13,55822,6653,55280,20357,13422,22447,12942,3472,rest
1,55822,6653,55280,20357,13422,22447,12942,3472,rest
-17,13698,23489,59921,103140,12359,8816,1249,2550,rest
1,13698,23489,59921,103140,12359,8816,1249,2550,rest
99,13698,23489,59921,103140,12359,8816,1249,2550,rest
76,13698,23489,59921,103140,12359,8816,1249,2550,rest
25,13698,23489,59921,103140,12359,8816,1249,2550,rest
-36,13698,23489,59921,103140,12359,8816,1249,2550,rest
50,13698,23489,59921,103140,12359,8816,1249,2550,rest
90,13698,23489,59921,103140,12359,8816,1249,2550,rest
77,13698,23489,59921,103140,12359,8816,1249,2550,rest
88,13698,23489,59921,103140,12359,8816,1249,2550,rest
70,13698,23489,59921,103140,12359,8816,1249,2550,rest
7,30975,58208,123069,22712,13136,25167,4104,1272,rest
52,30975,58208,123069,22712,13136,25167,4104,1272,rest
43,30975,58208,123069,22712,13136,25167,4104,1272,rest
-13,30975,58208,123069,22712,13136,25167,4104,1272,rest
