eegRawValue,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
65,423420,212242,49631,28950,13245,4057,4005,6722,rest
84,423420,212242,49631,28950,13245,4057,4005,6722,rest
69,423420,212242,49631,28950,13245,4057,4005,6722,rest
84,423420,212242,49631,28950,13245,4057,4005,6722,rest
74,423420,212242,49631,28950,13245,4057,4005,6722,rest
50,423420,212242,49631,28950,13245,4057,4005,6722,rest
37,423420,212242,49631,28950,13245,4057,4005,6722,rest
18,423420,212242,49631,28950,13245,4057,4005,6722,rest
316,423420,212242,49631,28950,13245,4057,4005,6722,rest
-221,20982,21776,42673,57132,17723,6507,6082,1739,rest
-55,20982,21776,42673,57132,17723,6507,6082,1739,rest
37,20982,21776,42673,57132,17723,6507,6082,1739,rest
121,20982,21776,42673,57132,17723,6507,6082,1739,rest
54,20982,21776,42673,57132,17723,6507,6082,1739,rest
104,20982,21776,42673,57132,17723,6507,6082,1739,rest
-88,20982,21776,42673,57132,17723,6507,6082,1739,rest
76,20982,21776,42673,57132,17723,6507,6082,1739,rest
-86,20982,21776,42673,57132,17723,6507,6082,1739,rest
53,20982,21776,42673,57132,17723,6507,6082,1739,rest
49,20982,21776,42673,57132,17723,6507,6082,1739,rest
-76,957252,21095,1997,12999,13813,4675,10232,1876,rest
-8,957252,21095,1997,12999,13813,4675,10232,1876,rest
-5,957252,21095,1997,12999,13813,4675,10232,1876,rest
-116,957252,21095,1997,12999,13813,4675,10232,1876,rest
28,957252,21095,1997,12999,13813,4675,10232,1876,rest
42,957252,21095,1997,12999,13813,4675,10232,1876,rest
-125,957252,21095,1997,12999,13813,4675,10232,1876,rest
-11,957252,21095,1997,12999,13813,4675,10232,1876,rest
100,957252,21095,1997,12999,13813,4675,10232,1876,rest
129,957252,21095,1997,12999,13813,4675,10232,1876,rest
92,2011486,78968,141622,40299,122484,37967,22371,7718,rest
285,2011486,78968,141622,40299,122484,37967,22371,7718,rest
384,2011486,78968,141622,40299,122484,37967,22371,7718,rest
