eegRawValue,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
0, 49927, 50350, 6259, 3418, 3966, 1715, 1849, 601,down
48, 49927, 50350, 6259, 3418, 3966, 1715, 1849, 601,down
26, 49927, 50350, 6259, 3418, 3966, 1715, 1849, 601,down
66, 49927, 50350, 6259, 3418, 3966, 1715, 1849, 601,down
-4, 49927, 50350, 6259, 3418, 3966, 1715, 1849, 601,down
39, 49927, 50350, 6259, 3418, 3966, 1715, 1849, 601,down
87, 49927, 50350, 6259, 3418, 3966, 1715, 1849, 601,down
22, 49927, 50350, 6259, 3418, 3966, 1715, 1849, 601,down
23, 49927, 50350, 6259, 3418, 3966, 1715, 1849, 601,down
74, 30254, 59912, 17416, 31310, 35197, 13300, 8551, 8922,down
21, 30254, 59912, 17416, 31310, 35197, 13300, 8551, 8922,down
8, 30254, 59912, 17416, 31310, 35197, 13300, 8551, 8922,down
1, 30254, 59912, 17416, 31310, 35197, 13300, 8551, 8922,down
-9, 30254, 59912, 17416, 31310, 35197, 13300, 8551, 8922,down
33, 30254, 59912, 17416, 31310, 35197, 13300, 8551, 8922,down
34, 30254, 59912, 17416, 31310, 35197, 13300, 8551, 8922,down
66, 30254, 59912, 17416, 31310, 35197, 13300, 8551, 8922,down
-14, 30254, 59912, 17416, 31310, 35197, 13300, 8551, 8922,down
-7, 30254, 59912, 17416, 31310, 35197, 13300, 8551, 8922,down
32, 361141, 27834, 5090, 19676, 3946, 20668, 3373, 2015,down
20, 361141, 27834, 5090, 19676, 3946, 20668, 3373, 2015,down
-10, 361141, 27834, 5090, 19676, 3946, 20668, 3373, 2015,down
-71, 361141, 27834, 5090, 19676, 3946, 20668, 3373, 2015,down
-113, 361141, 27834, 5090, 19676, 3946, 20668, 3373, 2015,down
262, 361141, 27834, 5090, 19676, 3946, 20668, 3373, 2015,down
-98, 361141, 27834, 5090, 19676, 3946, 20668, 3373, 2015,down
-62, 361141, 27834, 5090, 19676, 3946, 20668, 3373, 2015,down
36, 361141, 27834, 5090, 19676, 3946, 20668, 3373, 2015,down
-56, 361141, 27834, 5090, 19676, 3946, 20668, 3373, 2015,down
73, 361141, 27834, 5090, 19676, 3946, 20668, 3373, 2015,down
-244, 194442, 49594, 9297, 9203, 2716, 5664, 9222, 2666,down
36, 194442, 49594, 9297, 9203, 2716, 5664, 9222, 2666,down
86, 194442, 49594, 9297, 9203, 2716, 5664, 9222, 2666,down
39, 194442, 49594, 9297, 9203, 2716, 5664, 9222, 2666,down
75, 194442, 49594, 9297, 9203, 2716, 5664, 9222, 2666,down
-43, 194442, 49594, 9297, 9203, 2716, 5664, 9222, 2666,down
17, 194442, 49594, 9297, 9203, 2716, 5664, 9222, 2666,down
128, 194442, 49594, 9297, 9203, 2716, 5664, 9222, 2666,down
16, 484481, 22131, 14308, 10280, 7295, 4358, 4038, 1662,down
28, 484481, 22131, 14308, 10280, 7295, 4358, 4038, 1662,down
81, 484481, 22131, 14308, 10280, 7295, 4358, 4038, 1662,down
105, 484481, 22131, 14308, 10280, 7295, 4358, 4038, 1662,down
-35, 484481, 22131, 14308, 10280, 7295, 4358, 4038, 1662,down
114, 484481, 22131, 14308, 10280, 7295, 4358, 4038, 1662,down
92, 484481, 22131, 14308, 10280, 7295, 4358, 4038, 1662,down
81, 484481, 22131, 14308, 10280, 7295, 4358, 4038, 1662,down
1, 484481, 22131, 14308, 10280, 7295, 4358, 4038, 1662,down
69, 484481, 22131, 14308, 10280, 7295, 4358, 4038, 1662,down
59, 125124, 69611, 10139, 7540, 13381, 16880, 12903, 13244,down
66, 125124, 69611, 10139, 7540, 13381, 16880, 12903, 13244,down
69, 125124, 69611, 10139, 7540, 13381, 16880, 12903, 13244,down
5, 125124, 69611, 10139, 7540, 13381, 16880, 12903, 13244,down
45, 125124, 69611, 10139, 7540, 13381, 16880, 12903, 13244,down
21, 125124, 69611, 10139, 7540, 13381, 16880, 12903, 13244,down
96, 125124, 69611, 10139, 7540, 13381, 16880, 12903, 13244,down
21, 125124, 69611, 10139, 7540, 13381, 16880, 12903, 13244,down
24, 125124, 69611, 10139, 7540, 13381, 16880, 12903, 13244,down
58, 191111, 115112, 92680, 60241, 46563, 10082, 5201, 4168,down
81, 191111, 115112, 92680, 60241, 46563, 10082, 5201, 4168,down
53, 191111, 115112, 92680, 60241, 46563, 10082, 5201, 4168,down
67, 191111, 115112, 92680, 60241, 46563, 10082, 5201, 4168,down
-57, 191111, 115112, 92680, 60241, 46563, 10082, 5201, 4168,down
640, 191111, 115112, 92680, 60241, 46563, 10082, 5201, 4168,down
-150, 191111, 115112, 92680, 60241, 46563, 10082, 5201, 4168,down
-105, 191111, 115112, 92680, 60241, 46563, 10082, 5201, 4168,down
-9, 191111, 115112, 92680, 60241, 46563, 10082, 5201, 4168,down
105, 191111, 115112, 92680, 60241, 46563, 10082, 5201, 4168,down
150, 977847, 168223, 149325, 97354, 58828, 48355, 19814, 6615,down
75, 977847, 168223, 149325, 97354, 58828, 48355, 19814, 6615,down
149, 977847, 168223, 149325, 97354, 58828, 48355, 19814, 6615,down
-307, 977847, 168223, 149325, 97354, 58828, 48355, 19814, 6615,down
-185, 977847, 168223, 149325, 97354, 58828, 48355, 19814, 6615,down
-145, 977847, 168223, 149325, 97354, 58828, 48355, 19814, 6615,down
309, 977847, 168223, 149325, 97354, 58828, 48355, 19814, 6615,down
759, 977847, 168223, 149325, 97354, 58828, 48355, 19814, 6615,down
34, 977847, 168223, 149325, 97354, 58828, 48355, 19814, 6615,down
82, 977847, 168223, 149325, 97354, 58828, 48355, 19814, 6615,down
90, 463573, 70399, 10184, 22789, 8238, 11406, 5920, 2492,down
88, 463573, 70399, 10184, 22789, 8238, 11406, 5920, 2492,down
36, 463573, 70399, 10184, 22789, 8238, 11406, 5920, 2492,down
40, 463573, 70399, 10184, 22789, 8238, 11406, 5920, 2492,down
89, 463573, 70399, 10184, 22789, 8238, 11406, 5920, 2492,down
70, 463573, 70399, 10184, 22789, 8238, 11406, 5920, 2492,down
26, 463573, 70399, 10184, 22789, 8238, 11406, 5920, 2492,down
36, 463573, 70399, 10184, 22789, 8238, 11406, 5920, 2492,down
22, 463573, 70399, 10184, 22789, 8238, 11406, 5920, 2492,down
-5, 463573, 70399, 10184, 22789, 8238, 11406, 5920, 2492,down
38, 46114, 21500, 28375, 20644, 16150, 11385, 5052, 3843,down
55, 46114, 21500, 28375, 20644, 16150, 11385, 5052, 3843,down
51, 46114, 21500, 28375, 20644, 16150, 11385, 5052, 3843,down
33, 46114, 21500, 28375, 20644, 16150, 11385, 5052, 3843,down
48, 46114, 21500, 28375, 20644, 16150, 11385, 5052, 3843,down
106, 46114, 21500, 28375, 20644, 16150, 11385, 5052, 3843,down
57, 46114, 21500, 28375, 20644, 16150, 11385, 5052, 3843,down
25, 46114, 21500, 28375, 20644, 16150, 11385, 5052, 3843,down
40, 46114, 21500, 28375, 20644, 16150, 11385, 5052, 3843,down
42, 46114, 21500, 28375, 20644, 16150, 11385, 5052, 3843,down
68, 145148, 32129, 47287, 34334, 10177, 8112, 3287, 2687,down
17, 145148, 32129, 47287, 34334, 10177, 8112, 3287, 2687,down
29, 145148, 32129, 47287, 34334, 10177, 8112, 3287, 2687,down
57, 145148, 32129, 47287, 34334, 10177, 8112, 3287, 2687,down
60, 145148, 32129, 47287, 34334, 10177, 8112, 3287, 2687,down
42, 145148, 32129, 47287, 34334, 10177, 8112, 3287, 2687,down
28, 145148, 32129, 47287, 34334, 10177, 8112, 3287, 2687,down
103, 145148, 32129, 47287, 34334, 10177, 8112, 3287, 2687,down
-7, 145148, 32129, 47287, 34334, 10177, 8112, 3287, 2687,down
75, 17726, 56558, 14943, 18711, 20619, 6668, 4315, 1933,down
85, 17726, 56558, 14943, 18711, 20619, 6668, 4315, 1933,down
70, 17726, 56558, 14943, 18711, 20619, 6668, 4315, 1933,down
75, 17726, 56558, 14943, 18711, 20619, 6668, 4315, 1933,down
2, 17726, 56558, 14943, 18711, 20619, 6668, 4315, 1933,down
146, 17726, 56558, 14943, 18711, 20619, 6668, 4315, 1933,down
-4, 17726, 56558, 14943, 18711, 20619, 6668, 4315, 1933,down
-13, 17726, 56558, 14943, 18711, 20619, 6668, 4315, 1933,down
59, 17726, 56558, 14943, 18711, 20619, 6668, 4315, 1933,down
68, 17726, 56558, 14943, 18711, 20619, 6668, 4315, 1933,down
35, 17726, 56558, 14943, 18711, 20619, 6668, 4315, 1933,down
49, 83400, 47298, 37837, 22151, 16091, 4847, 2686, 623,down
64, 83400, 47298, 37837, 22151, 16091, 4847, 2686, 623,down
89, 83400, 47298, 37837, 22151, 16091, 4847, 2686, 623,down
98, 83400, 47298, 37837, 22151, 16091, 4847, 2686, 623,down
455, 83400, 47298, 37837, 22151, 16091, 4847, 2686, 623,down
465, 83400, 47298, 37837, 22151, 16091, 4847, 2686, 623,down
12, 83400, 47298, 37837, 22151, 16091, 4847, 2686, 623,down
-61, 83400, 47298, 37837, 22151, 16091, 4847, 2686, 623,down
-122, 255959, 43420, 23774, 10380, 7174, 2325, 1167, 2122,down
103, 255959, 43420, 23774, 10380, 7174, 2325, 1167, 2122,down
11, 255959, 43420, 23774, 10380, 7174, 2325, 1167, 2122,down
20, 255959, 43420, 23774, 10380, 7174, 2325, 1167, 2122,down
37, 255959, 43420, 23774, 10380, 7174, 2325, 1167, 2122,down
32, 255959, 43420, 23774, 10380, 7174, 2325, 1167, 2122,down
28, 255959, 43420, 23774, 10380, 7174, 2325, 1167, 2122,down
17, 255959, 43420, 23774, 10380, 7174, 2325, 1167, 2122,down
-9, 255959, 43420, 23774, 10380, 7174, 2325, 1167, 2122,down
-39, 255959, 43420, 23774, 10380, 7174, 2325, 1167, 2122,down
25, 1215013, 350316, 28285, 73291, 197018, 163334, 169949, 22896,down
52, 1215013, 350316, 28285, 73291, 197018, 163334, 169949, 22896,down
59, 1215013, 350316, 28285, 73291, 197018, 163334, 169949, 22896,down
20, 1215013, 350316, 28285, 73291, 197018, 163334, 169949, 22896,down
140, 1215013, 350316, 28285, 73291, 197018, 163334, 169949, 22896,down
81, 1215013, 350316, 28285, 73291, 197018, 163334, 169949, 22896,down
86, 1215013, 350316, 28285, 73291, 197018, 163334, 169949, 22896,down
33, 1215013, 350316, 28285, 73291, 197018, 163334, 169949, 22896,down
48, 1215013, 350316, 28285, 73291, 197018, 163334, 169949, 22896,down
529, 1215013, 350316, 28285, 73291, 197018, 163334, 169949, 22896,down
-162, 1204358, 503692, 40122, 93294, 71553, 31934, 49917, 9293,down
-72, 1204358, 503692, 40122, 93294, 71553, 31934, 49917, 9293,down
10, 1204358, 503692, 40122, 93294, 71553, 31934, 49917, 9293,down
34, 1204358, 503692, 40122, 93294, 71553, 31934, 49917, 9293,down
144, 1204358, 503692, 40122, 93294, 71553, 31934, 49917, 9293,down
34, 1204358, 503692, 40122, 93294, 71553, 31934, 49917, 9293,down
75, 1204358, 503692, 40122, 93294, 71553, 31934, 49917, 9293,down
29, 1204358, 503692, 40122, 93294, 71553, 31934, 49917, 9293,down
-2, 1204358, 503692, 40122, 93294, 71553, 31934, 49917, 9293,down
36, 1204358, 503692, 40122, 93294, 71553, 31934, 49917, 9293,down
37, 392129, 80384, 6616, 6996, 11621, 2701, 907, 1292,down
125, 392129, 80384, 6616, 6996, 11621, 2701, 907, 1292,down
48, 392129, 80384, 6616, 6996, 11621, 2701, 907, 1292,down
38, 392129, 80384, 6616, 6996, 11621, 2701, 907, 1292,down
87, 392129, 80384, 6616, 6996, 11621, 2701, 907, 1292,down
-19, 392129, 80384, 6616, 6996, 11621, 2701, 907, 1292,down
83, 392129, 80384, 6616, 6996, 11621, 2701, 907, 1292,down
48, 392129, 80384, 6616, 6996, 11621, 2701, 907, 1292,down
228, 392129, 80384, 6616, 6996, 11621, 2701, 907, 1292,down
82, 173683, 283810, 160232, 168546, 35328, 77645, 23582, 29510,down
136, 173683, 283810, 160232, 168546, 35328, 77645, 23582, 29510,down
-67, 173683, 283810, 160232, 168546, 35328, 77645, 23582, 29510,down
137, 173683, 283810, 160232, 168546, 35328, 77645, 23582, 29510,down
-5, 173683, 283810, 160232, 168546, 35328, 77645, 23582, 29510,down
347, 173683, 283810, 160232, 168546, 35328, 77645, 23582, 29510,down
6, 173683, 283810, 160232, 168546, 35328, 77645, 23582, 29510,down
-6, 173683, 283810, 160232, 168546, 35328, 77645, 23582, 29510,down
113, 173683, 283810, 160232, 168546, 35328, 77645, 23582, 29510,down
-122, 173683, 283810, 160232, 168546, 35328, 77645, 23582, 29510,down
86, 816370, 1298343, 345540, 90817, 51386, 59601, 52202, 8135,down
52, 816370, 1298343, 345540, 90817, 51386, 59601, 52202, 8135,down
-26, 816370, 1298343, 345540, 90817, 51386, 59601, 52202, 8135,down
34, 816370, 1298343, 345540, 90817, 51386, 59601, 52202, 8135,down
66, 816370, 1298343, 345540, 90817, 51386, 59601, 52202, 8135,down
56, 816370, 1298343, 345540, 90817, 51386, 59601, 52202, 8135,down
84, 816370, 1298343, 345540, 90817, 51386, 59601, 52202, 8135,down
66, 816370, 1298343, 345540, 90817, 51386, 59601, 52202, 8135,down
7, 816370, 1298343, 345540, 90817, 51386, 59601, 52202, 8135,down
92, 816370, 1298343, 345540, 90817, 51386, 59601, 52202, 8135,down
88, 816370, 1298343, 345540, 90817, 51386, 59601, 52202, 8135,down
34, 12443, 20426, 52643, 18989, 8822, 11090, 10162, 12806,down
29, 12443, 20426, 52643, 18989, 8822, 11090, 10162, 12806,down
475, 12443, 20426, 52643, 18989, 8822, 11090, 10162, 12806,down
-38, 12443, 20426, 52643, 18989, 8822, 11090, 10162, 12806,down
18, 12443, 20426, 52643, 18989, 8822, 11090, 10162, 12806,down
105, 12443, 20426, 52643, 18989, 8822, 11090, 10162, 12806,down
-114, 12443, 20426, 52643, 18989, 8822, 11090, 10162, 12806,down
53, 12443, 20426, 52643, 18989, 8822, 11090, 10162, 12806,down
140, 1926340, 525695, 58063, 23033, 62472, 118729, 54115, 19703,down
-33, 1926340, 525695, 58063, 23033, 62472, 118729, 54115, 19703,down
76, 1926340, 525695, 58063, 23033, 62472, 118729, 54115, 19703,down
73, 1926340, 525695, 58063, 23033, 62472, 118729, 54115, 19703,down
71, 1926340, 525695, 58063, 23033, 62472, 118729, 54115, 19703,down
-17, 1926340, 525695, 58063, 23033, 62472, 118729, 54115, 19703,down
10, 1926340, 525695, 58063, 23033, 62472, 118729, 54115, 19703,down
80, 1926340, 525695, 58063, 23033, 62472, 118729, 54115, 19703,down
45, 1926340, 525695, 58063, 23033, 62472, 118729, 54115, 19703,down
68, 1926340, 525695, 58063, 23033, 62472, 118729, 54115, 19703,down
244, 615221, 568976, 215710, 54480, 77385, 79838, 59914, 19853,down
72, 615221, 568976, 215710, 54480, 77385, 79838, 59914, 19853,down
106, 615221, 568976, 215710, 54480, 77385, 79838, 59914, 19853,down
39, 615221, 568976, 215710, 54480, 77385, 79838, 59914, 19853,down
33, 615221, 568976, 215710, 54480, 77385, 79838, 59914, 19853,down
44, 615221, 568976, 215710, 54480, 77385, 79838, 59914, 19853,down
1, 615221, 568976, 215710, 54480, 77385, 79838, 59914, 19853,down
106, 615221, 568976, 215710, 54480, 77385, 79838, 59914, 19853,down
42, 615221, 568976, 215710, 54480, 77385, 79838, 59914, 19853,down
104, 615221, 568976, 215710, 54480, 77385, 79838, 59914, 19853,down
80, 1044840, 1017048, 221905, 42885, 34454, 22365, 53596, 7139,down
146, 1044840, 1017048, 221905, 42885, 34454, 22365, 53596, 7139,down
137, 1044840, 1017048, 221905, 42885, 34454, 22365, 53596, 7139,down
65, 1044840, 1017048, 221905, 42885, 34454, 22365, 53596, 7139,down
4, 1044840, 1017048, 221905, 42885, 34454, 22365, 53596, 7139,down
